Nama,Ulasan,Tanggal
Hanif Kusumaning Tyas,"Pasar Prawirotaman yang telah selesai direvitalisasi menjadi gedung 4 lantai di Jalan Parangtritis, Kota Yogyakarta saat ini menjadi pasar tradisional yang masih digemari masyarakat, namun dengan fasilitas modern seperti supermarket. …",2023-10-14
Budi Wijayarto,"Terletak di jalan Parangtritis, di tengah kota Yogyakarta. Lokasi Pasar Prawirotaman sangat strategis dan mudah dijangkau. Kondisi pasar bersih dan teratur. Harga tetap murah dan terjangkau. Disediakan Troli dan tangga berjalan untuk menuju …",2022-10-14
Francy Iriani,pasarnya bersih. tersedia lift maupun eskalator yg sangat memudahkan orang yang akan belanja disitu. katagorisasi barang juga mudah ditemukan.,2024-06-14
Azizah Untsa,"Padahal fasilitasnya bagus
Tapi para penjualnya masih kurang bersih dan kurang tertata
Lumayan lengkap, ada sarapan di lt.3 bisa naik eskalator, beli lupis lupisnya juga enaak",2024-08-14
Fe ee,"Pasar terkece di Jogja modern, bersih, bnyk fasilitas yang kekinian..
1. Kuli Gendhong disini keren pake troly karena ad ekstalatornya jadi aman..
2. Pasar nya tertata rapi berdasarkan kebutuhan daging² sendiri, ikan sendiri, …",2023-10-14
Lilik Febriyanto,"pasar nya bersih,tertata rapi,ada lift dan eskalator jadi kalau mau naik ke lantai atas gak capek,ada food court nya jg",2024-06-14
noor fitriah,"Pasar yang lokasinya banyak hotel . Pasar rasa belanja di carefour 😆. Penjual nya ramah, daging ayam tempe lantai 1, sayuran lantai 2, jajanan pasar lantai 3. Fasilitas eskalator kyk carefour. Lantai keramik. …",2022-10-14
Hanifa Wahyu Puspitasari,"pasar terbersih , terbagus, termewah menurut aku ga cocok dibilang pasar sih lebih cocok dibilang mall . shock banget pas diajak kesini . keren sih ini tempat , kalau gak dikasih tau warlok disini ya ga bakal tau tempat ini . saya pikir …",2024-05-14
Renaldo EA,"perkembangan yg bagus untuk sebuah pasar, ada 4 lantai, menunjang kegiatan digital karena ada workspace, tempat podcast dan tempat nongkrong di lantai 4",2023-12-14
Yudha Wira Pratama Abdillah,"Hidden gem di Kota Jogja, tempatnya cocok buat makan sambil nikmatin pemandangan, cocok juga buat ngobrol sama keluarga atau bahkan doi, sambil menikmati senja misalnya. Harga makanan di sini standar, nggak mahal, nggak murah juga, worth it, rasanya juga enak.",2022-10-14
Melinda Indini,"Makin nyaman sma pasar ini. Bersih dan tertata rapi sejak pembangunan baru. Lebih enak belanjanya.
Ada escalator juga. Jadi ga cape 🥰 …",2022-10-14
Lumos Amenities,"Setelah direnovasi, pasar ini jadi sangat bagus (utk ukuran pasar tradisional). Dg fasilitas lengkap dan modern. Sayaaaang sekali, toilet msh samgat kotor. Andai ada yg bertanggugn jawab utk cleaning, akan sangat baik",2021-10-14
Muhammad Riyan Prastya,"Pasar Prawirotaman ini berlokasi di jalan Parangtritis  no.103 Prawirotaman Yogyakarta. Sangat dekat dengan kampung internasional Prawirotaman Yogyakarta. Mudah di temukan karna lokasinya sangat strategis, berada di pinggir jalan dan …",2024-03-14
Dimas Sakti Nugraha,"Pasar yang punya foodcourt di rooftopnya, pasar modern 4 lantai dengan lift & basement, untuk parkiran basement nya cenderung sempit ya",2024-09-14
K DW,"pasar tradisional
dengan konsep baru
tersedia eskalator …",2022-10-14
Veni “Ve” Vito,"..pasar tradisional,,bka tiap hari tempat bersih,pedagang jg variasi,,gak cm bahan makanan,jajanan tradisional jg ad,,mulai dari bakmi pentil,lopis,gudangan,es cendol dll. Ditambah lagi skrg ud direnovasi. Tampilan makin manis..ad ruang penyiaran,ruang podcash,ruang laktasi, corner kid jg ad.",2021-10-14
anggy sabrita,"Satu-satunya pasar tradisional yang paling bersih dan tertata yang pernah kukunjungi. terdiri atas 4 lantai, basement, dan rooftop. Papan informasi sangat jelas. Tersedia lift, eskalator, dan tangga. Pasar juga dilengkapi dengan cctv …",2022-10-14
Nugroho Christie,"Pasar tradisionil disini banyak menawarkan makanan dan oleh2 khas Yogyakarta. Harganya bisa ditawar. Tempatnya bagus, bersih (mungkin karena belum lama diresmikan), cukup dekat dari penginapan saya (Reisban Hostel & Coffeeshop). Juga banyak alternatif kendaraan utk pulang, misal becak dsb.",2021-10-14
Devi Setyarini,"Kereeen sih ini, aminitinya lengkap sekali, cuman mungkin kurang di promosinya,harus beneran di sosialisasi dilingkup masyarakat jgj lebih luas, gimana cara sewa studio, potkes, foto, kubikel, biar bisa dimanfaaatin semaksimal mungkin. Tepok tangan deh",2024-01-14
Aditya Parama,They recently opened an open space + co-working + cafe on the top of Prawirotaman Traditonal Market. nice place to hang out with friends and watch sun set,2023-10-14
dian nkrn,"pasar modern yang nyaman dengan 4 lantai.
pasarnya bersih, antar pedagang disesuaikan dengan jenis dagangannya. jadi memudahkan untuk cari barang. …",2021-10-14
Ayub nurs,"Pasar Prawirotaman telah selesai direvitalisasi menjadi gedung 4 lantai di Jalan Parangtritis, Kota Yogyakarta saat ini menjadi pasar tradisional yang masih digemari masyarakat, namun dengan fasilitas modern seperti supermarket. Terdapat …",2022-10-14
Sero,"Di pasar yang baru lebih bersih dan tertata, ada eskalator dan lift untuk naik ke lantai atas. Lantai 4 ada food court, asik buat nongkrong.",2021-10-14
Anita Aisyah,"Pasar modern, ada eskalator dan lift. Di lantai 4 ada kursus public speaking dan area makan.",2024-03-14
Kuntoro Hartono,"Pasar cukup lapang, bersih dan bisa untuk rekreasi belanja. Sayang lapak blm terisi sepenuhnya",2023-10-14
Nur Febriani,"Pasar tradisional yang dikemas secara modern, waktu kesini sore jadi untuk pasarnya sendiri sudah tutup. Namun untuk yang suka sunset tempat ini rekomen banget buat dikunjungi. Karena di rooftoop ada foodcourt dan ada banyak tempat duduk, namun kalau untuk melihat sunset tempatnya terbatas",2024-04-14
Budi Prasetyono,"Pasar tradisional yang dibangun kembali menjadi lebih modern, bersih, pedagang tertata rapi sesuai komoditi dagangan, dilengkapi dengan kift oengunjung dan eskalator untuk naik/turun ke lantai yang dituju. Tempat parkir kendaraan di basement juga cukup luas untuk daya tampungnya",2024-04-14
Trisca Fariana,Tempat bersih dan rapi. Pilihan tenan belum banyak. Untuk akses bisa langsung lift ke lt. 4 dari parkiran basement.,2023-10-14
Rian Ramadhan,Di Rooftop/Lt. 4 Pasar Prawirotaman Ini Memiliki Food Court & Stage Panggung Yg Keren Serta Memiliki Fasilitas Yg Dinamakan Ruang Ekonomi Kreatif (IG: @ruangekraf) Dimana Disini Disediakan Untuk Para Kreator/Musisi Bisa Menggunakan …,2021-10-14
retno widuri,Pasar tradisional bisa juga lo jadi keren .. bersih .. semoga bukan karena masih baru .. semoga pengurus pasar bisa mempertahan kan kebersihan pasar ini .. asik pokok nya duduk2 di sini .. cuma gerai makan nya kurang banyak ..,2021-10-14
Arjono Pta,"It was very nice to see traditional market with such variety of almost anything for cooking and your house hold needs.
Price is ok but you need to get there early so you will have more fresh vegetables and many things",2024-06-14
Nurcahyo Kuswiyarto,"Pasar tradisional yang bersih. Ternyata di lantai empat ada food court yang nyaman. Ada lokasi untuk melihat matahari terbenam
Ada studio audio video yang bisa dimanfaatkan oleh publik. Keren...",2021-10-14
Superior Eleven,"Pasar di tengah kota, yang dulu sangat tradisional. Kini tampak sangat modern gaessss.. Penataan jualan pun dipisah2 gan. Oiya sekarang pasarnya lantai bertingkat yaaa. Ada lift dan escalatornyaaaaa. Thx Pemkot Yogyakarta, top markotop. …",2021-10-14
Galih Atmanagara,"Awalnya pasar tradisional
Setelah di renovasi jadilah pasar modern
Tersedia tangga, lift maupun eskalator untuk menuju ke lantai berikutnya …",2022-10-14
dham,"Pasarnya bersih, luas, dengan sembako cukup lengkap dan murah  tersedia. Penjualnya juga rata"" ramah. Tapi beberapa kios masih kosong, terutama bgn frozen food dan pecah belah",2024-04-14
Apsari N. E. Ramadhanty,"Pasar Tradisional di Yogya selatan yang engga pernah sepi, kalau kesini kudu pagi2 ya, jajan pasarnya juga banyak, dan jangan lupa nyobain kue cara dideket yg jual bunga tabur. Soalnya enak. Hwehe",2018-10-14
lesri paligi,Salah satu hal menarik pas liburan ke jogja adalah wlupun d pasar tradisional tp sistem pembayarannya udh pke Qris jd memudahkan dn tdk selalu hrus bwa cash. Maklum tmpt sy blm sprti itu jd agak merasa wah pas ke jogja hehehehe. Ini salah …,2023-10-14
Anak Tetangga Sebelah,"Pasar paling komplit nih. Pasar tradisional yg cukup bersih dan tertata. Banyak makanan-makanan enak intuk sarapan di sini. Dari soto koya sampai bubur ayam, semua enak. Semua legend.",2023-10-14
Fani Ambarwati,"Di lantai paling atasnya ada foodcourt. Cuma beberapa yg buka, tempatnya luas, nyaman, dan ga ramai. Viewnya cakeupp kalau malem. Utk steak moen-moen nya biasa, dan sayangnya tidak tersedia nasianya steak saja, menunya jg cuma beberapa yg tersedia",2022-10-14
Rizki M,Clean and organized traditional market in yogyakarta. Went to this market looking for traditional snacks on third floor. There is a foodcourt with rooftop on the fourth floor. Qris payment is available,2022-10-14
kingss sss,parkir resmi atau liar itu yang ada di basement gedung? mereka cuman duduk dan nunggu duit parkir wkwk,2024-09-30
Ester Ana,"Salah satu pilihan claypot Di jalan paris, tempatnya lumayan untuk menikmati makan Siang, cuma kemaren disanaa makanan disajikan lamaaa, tapi Masih oke sih krn makanannya enakk,",2023-10-14
Adinda Annisa Diva Pratiwi,Dari lantai 1 sampai 3 pasar tradisional tapi tertata modern dan apik. Tersedia eskalator dan juga lift. Untuk usia lanjut juga bisa naik lift misal lelah. …,2022-10-14
Dian Sutjahjono,"Pasar tradisional dengan penataan yang bagus dan gedung yang baru. Belum penuh sih yang berjualan, tapi cukup lengkap lah untuk pasar",2021-10-14
bambang irawan,"Pasar prawirotaman versi 2.0
Scr lokasi nyaman buat belanja...wlp kesini mapam pas pasar dah tutup & tujuannya buat jajan di rooftop nya",2023-10-14
Jasmine Titania,"Rooftop nya bagus, bisa liat sunset.. ada food court nya.. tempat makan nya juga nyaman.. kamar mandi, mushola, juga tersedia. Parkir di basement pasar, naik pakai lift ke atas.. enaknya sore ke sini, biar nggak panas bgt. Tempat makan sisi utara kalau siang panas..",2021-10-14
erick namara,"Kalau cari ketan dan lopis ke sini. Pagi-pagi. Modern. Udah pakai eskalator.
Tempat makanan dan jajanan ada di lantai atas",2024-08-14
Teguh Suandi,"Pertama kali ke sini sebelum direnovasi, suka banget kalau hunting sarapan sama cemilan di sini. …",2023-10-14
Dikon Gawe Channel,"Pasar tradisional yang termodernisasi
Keren tempat roftop nya bisa buat nongkrong
Harga jajan pasarnya juga murah-murah
Rekomended buat dolan dolan",2021-10-14
Nurul Inabah,Pasarnya bersih dan udah modern. Parkirnya agak kecil ya.,2024-10-09
Elin Widiastuti,"Pasarnya bersih, bagus... Baru pertama kali ini lihat pasar sekeren ini. Monggo buat daerah lain bisa di contoh👍👍 …",2023-10-14
Isna Risma,"Iseng masuk ke pasar prawirotaman yang abis di renovasi pas sore, ternyata di rooftop lantai 4 ada stand makanan (bakmi jawa, steak, coffee,dll) sayang banget masih sepi padahal tempatnya bagus, bersih, pelayanan juga bagus banget. View nya cakep banget, worth it buat nyore sama temen/keluarga ✨",2021-10-14
Fanny Faizah,"Pasar rasa mall. Parkir aman dan nyaman, di lantai dasar. Ada ekskalator dan lift yang membantu kita naik ke lantai atas. Bersih 👌 …",2023-10-14
And_rheana Kharina,"Tempatnya bersih, nyaman, aman. Berasa beli terasi di mall karena pake eskalator 😁 …",2022-10-14
Christin Sri Hastuti,"Lantai 4 ada foodcourt.
Anda bisa parkir di lantai basement lalu naik lift ke lantai 4.
Tersedia studio foto, ruang podcast, area makan indoor maupun outdoor dan tempat ngopi-ngopi.",2024-04-14
Nurul Rachma Putri,"modern banget, baru ini liat pasar pake eskalator.. keren! penempatan toko teratur sekali dan bersih.",2023-10-14
kawulo jogja,"pasarnya bersih, rapi, pakai eskalator dan ada liftnya juga, bisa bayar pakai QRIS lagi, ga kalah sama mall pokoknya..maju terus pasar tradisional",2022-10-14
Sesilya Israr,"Pasar yang d kelola secara baik..bersih.. tertata rapi...antar tingkat d hubungkan eskalator, memudahkan pembeli naik turun utk berbelanja",2021-10-14
Andrika P.,"Lama banget nggak ke pasar ini. Sekalinya ke tempat ini cuma nyari lopis dan grontol, wkwk. Abisan lopisnya enak bener. Setelah dibangun jadi lebih bersih dan tertata. Area parkirnya, baik motor dan mobil  ada di basement. Kalau males masuk basement, ada parkir motor di samping pasar.",2022-10-14
Amanda Novadistira,"Pasarnya bersih & nyaman, lengkap, ada eskalator, ada lift juga bisa k basement bawa barang k parkiran mobil, ada 3 lantai untuk pasar, lantai 4 katanya co working space tapi saya ga liat ke lantai 4",2021-10-14
MAILA'UL I.A,"Kalau sedang ramai sangat kacau. Parkiran tidak teratur dan bikin macet.

Penjual di dalam juga tidak tertata. Cukup kotor. Tapi harga makanan murah. …",2018-10-14
Astika E,Keliatannya modern tapi kalau udah masuk kotor banget tdak jauh beda dengan pasar tradisional. Sayang sekali padahal pasar ini bisa jadi pilihan bagi orang yang malas ke pasar tradisional tapi ingin dpat harga yang sama. Gak heran sih …,2023-12-14
Fajar Astanaprima,"Pasar terlihat sangat modern, dengan sekat antar pedagang, tangga berjalan, cat tembok putih, lantai keramik, lift, & parkir di basement. Mirip supermarket. Tidak ada lagi kesan kumuh & kotor, 100% modern. Hanya saja, paling ramai memang …",2021-10-14
Annisaa Khusnul,"Tempatnya jauh lebih bersih dari perkiraan. Gak perlu angkut2 barang karena ada troli dan eksalator. Gaya bgt wkwk. Harga bahan2 makanan juga murah. Tempat parkir basement luas,",2021-10-14
Muhammad Izzuddin,"Bersih, ramai di pagi hari sampai siang, sore ke malam sudah mulai sepi",2023-10-14
Yans Rianti,"Pasar tradisional yg sudah grow up jadi pasar modern.. jan sampe lolos rooftopnya kak,,,,",2024-06-14
Ton Dopping,"Nice place to visit. Several floors with herbs, vegetables etcetera. At the ground floor there is a small seperate hall with meat and fish. Everthing is very clean.",2023-10-14
Budi Yanto,"candu bgt tempatnya,, kl pas mendadak pgn liat sunset/senja,, tgl kesini aja,, d tengah kota jogja,, hrga msh terjangkau,, tempat luas, syg air toilet keruh,,",2022-10-14
Fransiscus Xaverius Dwi Putranto,One of fav traditional markets near Jogja city. Complete and the people also friendly. It's a nice spot for tourists who like taking pictures of human interest and food reviewers. Don't be shy ask and try some traditional food.,2018-10-14
Wawan Setyawan,Pasar tradisional dengan konsep modern ala-ala Mall agar dapat bersaing dengan pusat perbelanjaan lainnya. Dibangun megah agar tidak terlihat kumuh dan menumbuhkan kenyamanan berbelanja bagi pelanggan lama maupun baru. Dilengkapi dengan …,2024-01-14
Ayam Bacem Presto CIKAL Yogyakarta,Lebih luas dari bangunan lama. Lebih bersih dan tertata. Tersedia pilihan parkir diluar atau dibasement,2021-10-14
Matkli Astrianto,"Pasar Tradisional yang menyediakan berbagai kebutuhan rumah tangga..

Harga bahan pokok cenderung lebih murah dan kondisi yang lebih fresh.. …",2017-10-14
Aivi Lusiana,Tempat bersih dan nyaman. Foodcourt di lantai 4 buka sampai malam kurleb jam 9an.,2022-10-14
ananda,"pasarnya sudah tertata rapi sehingga terlihat lebih modern, foodcourt bersih dan banyak variasinya, sangat direkomendasikan untuk anak muda yang ingin nongkrong"" asik",2022-10-14
Hend' Prayogo,"Pasarnya sudah resik dan apik, sayang disayang parkirnya masih semrawut dan masih mengganggu pengguna jalan Paris.",2021-10-14
jana fitria kartika sari,"Ke sini unt nongkrong di roof top nya. Cobain menu2 mak min nya, ada claypot, pancake, steak, bakso, macam2 es. Viewnya juga cakep, bisa lihat kota, sisi lainnya view pegunungan.",2024-03-14
Nining Setya,"Pasarnya bersih, komplit, harga2 juga masih lumayan, strategis dan bagus pelayanannya",2023-10-14
nabil el majdi haq,"Sekarang pasar prawirotaman modern sekaliii, bangunan nya tinggi sekalii ada lift dan eskalator nya, jaman dulu masih tradisional, bangunan nya tidak tinggi tidak ada eskalator dan lift, parkir motor di basemant dan luassss bangett, jaman dulu tidak ada basemant nya dan jaman dulu parkir nya masih di pinggir jalan",2024-03-14
No Name,"Pagi pagi banget nyari sarapan sampai pasar prawirotaman, masuk ke dalam bersih dan rapi.. naik eskalator karna makanan dan jananan nya ada di lantai 2 tp ternyta masih persiapan buka, akhirnya nyari di luar ada soto😅 …",2021-10-14
giri putro Ragil,"pasar tradisional yg nyaman,ramah untuk tamu yg dr luar jogja pun,yg tidak bisa dilupakan jamu peras yg melegenda..jadi jamu yg letaknya di dalam pasar ini sudah sangat terkenal untuk warga sekitar,apabila ada keluhan seperti masuk …",2018-10-14
eggie gusthaman,"Pasar tradisional, bersih rapi.. bahkan belanjanya pake stroller.. keren asli..",2021-10-14
Badiyah Onde2,"Tempat yg enak buat nongkrong disore hari sambil nikmatin sunsire sambil kulineran....
Harga makanan juga standar 😊
Menu ayam penyetnya enak...gurih empuk 😋😄 …",2022-10-14
Annosmile Al,Prawirotaman Tradisional Market harusnya berganti menjadi Prawirotaman Modern Market karena kawasannya telah diubah menjadi bangunan modern. …,2023-11-14
