Nama,Ulasan,Tanggal
Herry Basara,"Salah satu pasar tradisional yang ada di Yogyakarta, seperti pada umumnya pasar pasar yang ada, disini cukup banyak tersedia barang atau makanan yang kita butuhkan, hanya sayang kondisi lingkungan sekitar sangat sempit, sulit parkir …",2019-10-14
Sutarno Darmo,"Adalah pasar tradisional yang masih memcerminkan suasana pasar di masa kejayaan kerajaan Mataram.
Tempat ini terletak di bagian timur  Kotagede, yaitu kota lama Jogjakarta tempo doeloe yang berada di sebelah tenggara kota Jogjakarta.",2018-10-14
Redmi 5a,Jarak antara jalan aspal untuk kendaraan dg penjual tterutama makanan yg tdk menutup dagangannya dg tutup yg memadahi dari segi kesehatan terlalu dekat,2020-10-14
Suwondo Jogja,Pengalaman saya di pasar kota gede cukup mengesankan karena makanannya banyak yang ditawarkan tinggal pilih,2021-10-14
Isnaeni Desanti,seneng pas jajan telor gulung malem tpi gasuka pas diajak videoklip disana males-_- tempatnya kurangg bersih,2022-10-14
Purwo Darmanto,"Pedagangnya ngasal bikin harganya,, pasar tradisional yang mahal,,pedagangnya kurang ramah",2021-10-14
Saptono Nugroho,"Meski sdh banyak perubahan disana sini, namun pasar legi yg identik dengan pasar burung berkicau yg berada diluar pasar, masih eksis sampe saat ini.",2017-10-14
Endar Purwanto,"Banyak jajanan pasar(makanan tradisional) klau kangen jajanan waktu kecil kesini aj, suasananya juga enak",2019-10-14
paryanto trendy,Beli snack banyak sekali..,2018-10-14
joni joni,masih perlu dibenahi sana sini terutama kebersihan karena bau sampah tercium di sekeliling pasar,2021-10-14
Adi Indrayana,Kurang tersedia tempat parkir mobil yg cukup utk pengunjung dari luar,2019-10-14
riswan hidayat,"Okeh copet e, ana group copet e  tur da barengan le nyopet. mesti iki terpengaruh sinetron sik kae",2019-10-14
Iswanto Agus Harfian,Aneka barang dagangan komplit dan lingkungannya nyaman.,2023-10-14
dyon haryanto,"harga sesuai kantong mahasiswa,,porsi menyesuaikan harga ,,rasa biasa saja,,",2021-10-14
Rizanet M.,"Parkir semrawut, kurang tertata pedagang kurang ramah, kotor tempatnya",2019-10-14
Azharudin Abdurachman,"Sangat padat, terlalu banyak dagangan diluar pasar, lalulintas semrawut",2017-10-14
fairus fitri astuti,Area parkirnya makan badan jalan. Bikin macet.,2021-10-14
faris dan aira,Kurang nyaman pengaturan parkirnya dibadan jalan,2021-10-14
nakama,"Pasaranya oke , cuman tempat kumuh na ga tertata dengan baik",2020-10-14
Kirana.Irdinayla,penataan parkir dan lapak jualannya semrawut,2022-10-14
Feri Art desain,Ccok untuk yang suka kemasan dsini tmpatnya,2022-10-14
Muhammad Faliq Fajri,WC susah,2024-01-14
adhi wibowo,"Rame. Jalan sempit, susah parkir mobil",2021-10-14
Ziyad Alwafie,Kurang suka kalo pagi sering macet,2018-10-14
Aryo Cething,Kurang nyaman terlalu rame tidak teratur,2019-10-14
Sri Rahayu,Bisa tawar menawar,2021-10-14
exsan arsitek,"Pasarnya bagus, parkirnya sempit",2019-10-14
kasim,Kurang bersih kendaraan semerawut,2023-10-14
Tusidi Karyono,Unik,2023-12-14
Rianta,pasarnya ramai,2017-10-14
Nanang Sudarsono,Recomend bgt dsni,2023-10-14
Fredy Tm,Harus lebih pagi,2020-10-14
Azizah Rahman,Sekarang kotor pasarnya,2018-10-14
Badarudin Udin,Bagus Rame lancar,2019-10-14
"Prof Mudrajad Kuncoro, PhD",agak sepi di waktu malam,2022-10-14
Candra Putra,Macet jalanan kecil,2017-10-14
Orlando Printing,Ramai,2023-10-14
Denok Lestari,Bagus,2023-10-14
Misko Bariandi,Pasar dengan sejarah Yogya masa lalu,2017-10-14
Atun ASA,Sangat ramai,2019-10-14
Martha_JR,🤐🤐🤐 …,2018-10-14
Dalijan Ebit,murah,2022-10-14
Elida Isna,Lengkap smua,2019-10-14
Anita _,Kurang bersih,2019-10-14
Ganbate,susah parkir,2019-10-14
Rayhan Nur Maulana,Oke,2019-10-14
Danang Sutowijoyo,Macet,2016-10-14
Krisna Yuda,kurang bagus,2018-10-14
cah Soo low,Semrawut,2019-10-14
April Apriliyana,Lumayan,2018-10-14
Mamaliem Aliem,Gelap d dalam pasar,2020-10-14
Febri Lestanto,Oke,2020-10-14
RUDDI BRAMA 61,Makin semrawut,2020-10-14
Mulya Widada,"Sedang"" Saja",2019-10-14
rini anggraeni,"Terasa seperti penduduk setempat. Bagus jika Anda punya banyak waktu untuk mengambil beberapa foto di sini. Ada beberapa toko perak di sini. Sayangnya, tempat ini bukan gayaku.",2020-10-14
Raida Nadia Syahita,"sekarang kita sedang berjuang melawan COVID-19, tapi pasarnya terlalu banyak orang di sana. Banyak orang yang tidak memakai masker.",2020-10-14
Hernawati Santoso,Jalannya terlalu sempit dan padat,2017-10-14
David Woesing,Menunggu terlalu lama...,2022-10-14
Yoshida Yanuar,Ke belakang,2020-10-14
Ardi Sepriyano,kurang aman,2021-10-14
Mama Cantik1234,"Komplit di pasar ini di jual semua kebutuhan pokok dari beras,sayur,sampai buah ada daging sapi,ayam dan penggilingan bakso juga di dalam  ada yg jualan soto,sate bawang merah goreng asli pun ada😁 …",2023-10-14
Arum Kusuma Dewi,"Pasarnya tidak terlalu besar, terkenal dgn jajanan tradisionalnya yg sangat banyak dan beragam. Bagi pecinta jamu, jgn lupa mmpir ke sini untik coba jamu yg diperas lngsung dr pembuatnya.",2020-10-14
arifahfafa,"Pasar tradisional yang beroperasi setiap hari. Menyediakan semua keperluan  khususnya tiap Pasaran Wage, pasar ini lebih ramai, karena ada jual beli berbagai macam unggas. sehingga pasar menjadi jauh lebih ramai dari hari biasanya, bahkan …",2019-10-14
desy kirana,"konon katanya ini pasar tertua di jogja. Bahkan udah ada dari sebelum ada kraton.
Jualannya memang komplit banget sih. Terutama makanan + jajanan pasar. …",2019-10-14
Eri Prasongko,Saya ke pasar ini untuk mengerjakan tugas kuliah mengenai pengelolaan sampah di pasar ini. Tetapi saat pertama kali saya mewawancara salah satu penjual disana saya mendapati respon yg kurang baik oleh pedagang di pasar ini. Sangat disayangkan.,2019-10-14
a lisnanto gathi,slalah satu pasar tradisional tertua di kota jogja. saat sore hari juga ramai dengan pedagang kulinernya di bagian depan pasar. agak semrawut parkirnya. yang perlu dicoba adalah kue kipo dan kue waru khas kotagede,2020-10-14
Muttaqien Badawi,Pasar tradisional yg berlokasi di Kotagede Yogyakarta....agak susah bawa kendaraan roda 4 unt.parkirnya..padat merayap lalu lintas tasnya sementara ruas jalan masih sempit....belanja harian disini demi membantu saudara2ku unt.meningkatkan ekonomi rakyat daripada belanja di supermarket....,2018-10-14
AppanaDonk?,Jajanan pasar lumayan lengkap. Abang becak asal markir becaknya jd bikin kurang nyaman.....,2020-10-14
rahmi rahmi,Banyak yg jual kue2 basah 👍🏻👍🏻 …,2021-10-14
Bu Mar,"Pasar tradisional yg banyak tersedia jajanan,makanan tradisional, jamu....Dan selalu ramai",2024-03-14
DESTIANA PASARIBU (Yana),"Pasarnya kecil, tiap pagi sering macet karna jalur mobil di arahkan lewat pasar yang notabene dikiri dan kanan jalan dipakai untuk parkiran motor pengunjung pasar. Tidak direkomendasikan lewat sini buat orang yang sedang terburu2 kalau …",2022-10-14
Yohna fortinatus,"Pasarnya bersih
Jajanan pasarnya banyak banget",2021-10-14
Mars Xion,"Orangnya ramah ramah , yg saya sayangkan adalah jalan akses disini sering macet bahkan nyaris ga bisa jalan sepeda motor jika ada acara khusus di pasar ini ,,,,",2023-10-14
Eny Sudaryanti,Harus berhati-hati melintas disini karna lalulintas padat dan lumayan ruwet. Diperlukan rekayasa lalulintas untuk mengurai kemacetan di daerah ini apalagi parkir motor mobil di jalan raya memakan badan jalan.,2023-10-14
Upala Yogyakarta,Lalu lalang kemdaraan cukuo ramai dan agak tidak tertata,2024-06-14
Inna Nura,"Pasar komplit dan tiada matinya,,pagi sayur dan jajanan pasar,,siang dan sore jajanan,,jajanan pasarnya top yang sore hari,,mainan anak juga murce,,kalo pas psaran hewan juga rame,,pasar serba komplit..selamat berkunjung...🙂 …",2023-10-14
Liest Setyo,Crowded setiap hari...jlnnya macet sekitar pasar ...pada parkir tdk tertib,2023-12-14
Badar FM,"saya sampai pasar legi ini malam hari, beli ronde disana sama jus, serta nasi goreng, harga lumayan, rasanya jg lumayan",2023-10-14
Ariebudi Wibowo,Cari jajanan pasar tempo doeloe mesti ada disini...,2019-10-14
Faradiana Cristalya,Sebenernya pasa legi tu sy suka liat2 tanaman.tp kl kesana syngnya gk ada tempat parkir mbl.dan kl soal kulinernya blm recomended sy.karna sy pernh beli makanan di sana..ada yg g sdh jamuran dan ada yg rasanya sdh gk layak konsumsi.kl yg lain sih oke,2022-10-14
Murlis Mudra,Pasar favorit utk penduduk Kotagede dsk. Kita mudah utk mencari berbagai kebutuhan dapur n rumah tangga. Harganya relatif lebih murah  utk sebagian kebutuhan pokok n sembako. Jajan pasar juga cukup komplit n ber aneka ragam. Pada jam sibuk …,2020-10-14
Iffah Salsabila,"Pasarnya rame
Jualan berbagai jajanan pasar, kebutuhan sehari-hari, jual sayur dan bumbu …",2018-10-14
Dan Ang,"Warung bakmi Jawa pak e Wawa sudah pindah t4 nggih,sekrang ada di Utara jembatan Tegal gendu,pas pinggir sungai.Dr jembatan udah kelihatan warung nya.Terimakasih buat masukan pelanggan2 bakmi Jawa saya,itu menjadi evaluasi warung saya. …",2022-10-14
Budi Prasetyono,"Sebuah pasar tradisional yang tidak begutu besar, harapan ke depannya perlu direvitalisasi karena usia bangunannya, namun cukup lengkap untuk berbelanja kebutuhan sehari-hari...akan lebih menyenangkan berbelanja di pasar ini saat pasaran …",2023-10-14
joko budaya,"psar trdisionil, yg msih mmprthnkan ciri2 ktrdisionalnya, blum renovasi, upgrade sluruh fsilits pndukung kgiatn pedgang,... nmpak kmuh, parkir kndraan roda2 mngganggu llu lints",2023-10-14
yumna hamidah,"Rame bgt pagi, siang, malam.. yg jual beda2. Kalo pagi pd jual sayur dan bahan pangan mentah lainnya , siang sampe sore banyak jajanan, sore smpe malam ada jajanan, lauk Pauk, dan sandang, perabotan di toko2 depan pasar juga ada. Cari jajanan di sini serba ada ya :)",2018-10-14
isnuryana,"Pasar yg sdh ada sejak jaman dulu. Jika pagi penuh sesak.
Perlu dicari jalan keluar untuk tempat parkir yg memenuhi jalan shg macet.",2023-10-14
galuh diwasasri,"Kalau pas hari Pasaran Legi, pasar jadi penuh sesak dengan orang2 yang menjual berbagai barang. Mulai dari burung, tanaman, aneka perkakas pertanian, sparepart, barang elektronik bekas, pakaian, tentu saja bahan makanan, sayur, buah, dll yang biasa ada di pasar.",2020-10-14
Rina Diyanti,"Kl kepasar ini pas mlm beli barang second murah2 tp masih ttep awet,tp jlnnya terlalu sempit,agak susah mau parkir kl lg pakai mobil",2022-10-14
Sugengbudi Harsono,Banyak makanan tradisional sayang kumuh harga murah parkir susah,2024-02-14
Srisukamti Hadiwijaya,Pasar kota gede Yogyakarta .   Kalo pagi ya ramai lah GK beda dgn.pasar lain . Tapi. Kalo sore malam.juga ramai banyak org jualan makansn Snack .lauk sayur .jamu .   Toko mas. Perhiasan berderet. Banyak .. Khusus kalo sore. Saya sering …,2019-10-14
Karangkajen Mg3860,"Bersejarah, unik, khas, tradisional, tempat berbaur berbagai kalangan masyarakat, para pedagang ramah, harga bersaing. Berada di sana seolah mundur di lorong waktu. …",2020-10-14
Retno Indarti,"Byk hal dijual di sini. Sayur mayur mentah maupun mateng. Ikan daging, lauk pauk. Buah2an.. sop buah, es buah, es dawetnya top. Snack sangat banyak pilihan. Kue kering jg tersedia. Jamu segar peras langsung, ataupun kering adaaa.. baju ada. Namanya juga pasar  😄😃 …",2020-10-14
Handarini Cinta Wati,Banyak jalan searah duh bingung,2023-10-14
Cahya Setiawan,"Pasar tradisional yang kental dengan kesan sederhana meskipun dekat dengan makam raja2 dan masjid mataram. 3 star karena blum ada area parkir khusus ke pasar, jalannya sempit dan panas, belum ada kipas angin.",2017-10-14
Bekti Nurwanto,"Kurang bersih saja, untuk jajanan tradisionalnya enak2 🤤 …",2024-03-14
Joni Joni,"Pasanya bersih yg di dalam lantai keramik kios dan lapak tertata rapi
cuma  bangunanya kurang tinggii kurang memberi sirkulasi aliran udara …",2021-10-14
Kanaya-lukman Khakim,Enak kalau sore...banyak jajanan...harga terjangkau parkir aman...cuma kadang2 kalau pas rame agak macet jalan yang di depan pasar,2022-10-14
Riyatn Rio,Pasar yg berada di kota gede Yogyakarta dimana pasar ini terletak di Utara masjid gede Mataram yaitu masjid peninggalan keraton Mataram pertama kali dan pasar ini sangat bersejarah bahkan sekitar pasar kota gede menjadi tempat wisata karena …,2022-10-14
Hadi Samsul,"Lebi menarik dengan adanya warung kelontong madura...
Belanja kapan aja pasti buka.....",2023-10-14
yosef endro widiatmoko,"Bagi yang ingin melihat pasar tradisional, pasar legi Kotagede Jogja, makanan tradisional jamu dll masih ada, pasar burung , pernak pernik, klthikan juga ada, kalo beruntung bisa dapat barang lama dengan harha terjangkau",2019-10-14
Fajar Yulianto,"Pasar yang satu ini banyak kuliner enak untuk dicoba dan dinikmati,bikin penasarankan...cobain aja!!!",2023-10-14
SL AE,Makanan tradisional selalu ada. Paling ramai pada setiap Legi (hari Jawa). Di sini menjadi pasar hewan juga. Jual beli berbagai macam unggas termasuk  burung.,2017-10-14
Annisa Rizkyta Tresnatmaja (Caca),"kalo siang pasar tradisional,,tapi kalo malem tutup dan di luaran pasar dipake untuk buka lapak mulai dari barang bekas sampai baru.. dengan aneka jajanan dan hiburan odong"" untuk anak kecil",2018-10-14
Anom 04,"Lumayan karena letak lokasi yg berada tepat di tengah kota jg pemukiman,dgn tiga sisi jalan,dan justru ramainya di sore hari karena aneka kuliner terdapat di sana.",2020-10-14
sam ibenk,Pasar tradisional yg masih bertahan di kota Yogyakarta. Pasar bagian dalam cukup bersih namun bagian luar dipenuhi pedagang yg menjajakan di pinggir jalan sehingga membuat macet.,2021-10-14
ARYO DJENDRA,"Pasar tradisional lama ini sih, bisa sekalian jalan2 dilorong lorong perkampungan Kotagede, kalo pake mobil susah parkir jya",2023-10-14
Nugraha Pangarsa,"Pasarnya bersih, ragam orang jualan banyak sekali, mulai bahan mentah dan yg sudah masak. Harga tergolong murah, cuma jalan menuju pasar sering macet, krn jalannya sempit",2018-10-14
Totok Sudianto,"Menu Jajanan pasarnya komplit..tempat kurang nyaman nggak ada tempat parkir terpaksa parkir di jalan..perlu di rehab padahal harga2 disini miring, murah dan cukup fress..",2019-10-14
Elfi Marzuni,"Kalau pasaran wage, jalan utara pasar macet. Pengaturan pedagang dan area pakir perlu ditata sebaik mungkin.",2023-10-14
Indriyaningsih indriyaningsih,"Pasar kota gede, pasar yg selalu ada kegiatan transaksi sepanjang siang smp sore hari dan petang, bila pagi pasat tradisional ini lengkap menjual segala kebutuhan dapur dan lain sebagainya, namun bila sore hari sampe petang didominasi oleh …",2019-10-14
Sur Yanti,"Jajanan pasar relatif murah,klo sore di barat pasar jga ada macam2 snak, harga terjangkau",2023-10-14
Asyraf daib aufani,"Senang ramai juga komplit banyak aneka jajanan pasar,saya lebih suka datang pada waktu sore apa malam.",2022-10-14
Galuh Sekar Pamuji,"Jam 12 udah banyak yg tutup tapi masih ada yg buka. Jamunya enak, fresh from tangan penjualnya.",2022-10-14
Jegger Istadi,"Kalau malam hari, banyak pedagang makanan aneka macam, di tambah para pedagang klitikan ikut meramai kan suasana lingkungan pasar...",2021-10-14
Bunda TATA & ASYIFA Haque,"Komplit semua persedian sembako dan kebutuhan pokok ada, dan harganya murah, dari jajanan pasar tempo dlu, baju, sampai toko emas pun ada.. pasar malamnya juga ada, semua harganya miriiiiiiiing bgt, …",2019-10-14
Comedy Everyday,"Pedagang meleber sampai ke jalan dan mengakibatkan macet
Mohon pemerintah setempat segera menertibkan para pedagang untuk berjualan di dalam pasar karena lapak di dalam pasar malah kebanyakan masih kosong",2019-10-14
Putri Violawati,"Sekarang kalo di Pasar Kotagede juga udah lumayan lengkap. Yang mau beli sayur, buah, jajan pasar, baju, dll itu juga udah ada 👍 …",2022-10-14
oetomo yacob,"Waduh parkir roda 4 sangat susah,perlu di benahi masalah parkir biar yang hobi ke pasar tradisional ndak kapok,agar pedagang bisa tetep eksis",2022-10-14
TWO WHEEL ENTHUSIAST,Tukang parkir rese...sering digunakan mabuk-mabukan disore hari...mengganggu kenyamanan...pihak terkait sepertinya juga acuh,2022-10-14
Suci Hartanti,"Pasar yang buka 24 jam. Banyak tersedia lebytyhan sehari-hari, banyak jajanan dijajakan, dan klitikan atau barang bekas",2021-10-14
Dewi Wulandari,"Cari bibit tanaman dan bunga lengkap disini
Kelinci juga murah
Es dawet depan pasar enak …",2017-10-14
Pepi Dol,khusus menu nasgornya gak lengkap dari yang dulu...dulu lengkap ada kacang kaprinya...ayamnya di iris2.,2023-10-14
Ilham,Murah murah dan enak enak jajanan nya,2018-10-14
Pambudi Best,"Pasar tradisional, aktifitasnya siang & malam selalu ramai.",2018-10-14
Among Sandi L,"Jalan sempit, rame, cari tempat untuk parkir mobil susah.
Jajan pasarnya lumayan komplit... harga terjangkau..",2022-10-14
PJ Wahono,"Berkunjung saat malam hari karena ingin merasakan warung legendaris olahan kambing, yaitu tengkleng dan gulai",2022-10-14
Fahrin Hersan,"Senangnya ke pasar tradisional ini adalah tersedianya jajanan tempo dulu.....
Untuk yang suka busana batik juga ada toko toko yang menjualnya....",2020-10-14
Januarto budi Santoso,Tempat belanja yang dekat dari rumah saya dan nyaman.,2021-10-14
Gandung Joss,Tempatnya kotor,2024-08-14
karangkajen mg3861,Salah satu pasar tradisional di kota yg layak dipertahankan. Antara konsumen dan pedagang terjalin komunikasi yg akrab dan bernuansa kekeluargaan,2022-10-14
Yuli Ono,"Pasar kota gede cukup menarik, apalagi kalau hari pasaran legi, ramenya pol....jalan jadi macet.
Mungkin jalan pasar keselatan dibikin satu arah, kemudian timur pasar jg satu arah kebalikan barat pasar, perlu dicoba....",2017-10-14
Anshori Yanti,"Jalan2 menyempit karena tata kelola parkir yg buruk.
Jalan yg dikanan kirinya dipenuhi oleh kendaraan roda dua bahkan bisa lebih satu lapis.",2020-10-14
Mochamad Saleh,Tradisional sekali,2024-09-14
dian Kurniasih,Pasar tradisional Kotagede.  Lengkap kebutuhan memasak ibu ibu.  Kalo sore ada yang jual makanan buanyakk banget pilihannya.,2018-10-14
Warana Siwi,"Pasar Legi Kota Gede letaknya strategis,setiap hari pasaran yaitu Legi,sangat ramai,terutama burung banyak dijual,burungnya ber-macam2....penunjungnya rata2 pria pecinta burung ...",2018-10-14
Tales of Digital Footprint,pasar terlihat luas ketika pagarnya dihilangkan. jika waktu 'pasaran' tertentu seringkali ramai untuk jualan burung. namun masih terlihat semrawut,2016-10-14
Ratnasari Dewipurnama,Pasar legendaris setiap pasaran ramai jajanan khas nya kippo yg enak terbuat Dr tepung dan gula Jawa manis,2019-10-14
sekar. jaekim_k,"Pasarnya lumayan cukup luas dan kengkap, namun lahan parkir masih kurang memadai karena kondisi jakan yang macet",2020-10-14
aji pangestu,"Tempat cari jajanan  klo malem banyak org jualan makanan tradisional,, hati-hati guys jalan sekitar pasar Kota gede padat banget",2017-10-14
