Nama,Ulasan,Tanggal
Stlusur ID,Pasar Yang Cukup Lumayan Besar&Rame Yang Kapasitas Penjualnya Sudah Melebihi Dari Ruang Pasar Yang Disediakan.. Sehingga Tumpah Ruah Memenuhi Area Badan/Trotoar Jalan,2023-11-14
Light Firstly,"Area parkir yang kurang besar membuat jalan macet, dan tempat pembuangan sampahnya sangat bau hingga tercium saat berkendara. Selain itu semuanya layak",2021-10-14
kimii zas,Pasarnya sangat sepi g ada pengujung yang d dalam. Banyak lapak yang ksong orang belanja bnyak yang di luar. d sepanjang jalan.saya sebagai pedahang sangat mengeluh banyak dagangan yang g laku. Mohon solusi nya perintah. Trimksh.,2023-10-14
Mustafa Rahmatono,"Dalam penelusuran ke pasar2, kali ini sampai Pasar Demangan. Pasarnya tidak terlalu besar, dan terkesan agak kurang rapi. Pasar ini terletak di ujung Gejayan. Pasae masih aktif tp spt nya sdh tdk terlalu rame.",2023-10-14
Purnomo Samiyana,Pasar tradisional yang terletak di tepi jalan Gejayan.,2017-10-14
UNGGUL INDRIYO PRABOWO,"Kunjungan yg sangat singkat, kondisi pasar yg becek sekali krn baru saja di terpa hujan deras. Sementara keperluan hanya mencari peyek kacang khas Jogja utk oleh2. …",2023-10-14
rakhmat,"Qris tidak benar-benar ada di pedagang dsini. Kalaupun ada, pedagang meminta tambahan 1000",2024-04-14
Yuli Yanto,"Pasar tradisional yang masih bertahan di era modern, sayangnya tempat sampah tepat didepan pasar.",2023-11-14
yume chan,"Tempat biasa aku belanja pas tinggal didaerah demangan, lokasinya pas dipinggir jalan, Pasar Demangan terletak di Jl. Gejayan No. 28 Demangan, Sleman.
Bukanya dari subuh mungkin jam setengah lima atau jam lima, buka setiap hari …",2019-10-14
andyF,"Pasar tradisional di perkotaan, namun lahan parkir sempit dan bikin macet di pagi hari",2019-10-14
Nanie Wardhani,"Kalau bahas ragam dagangannya sih cukup lengkap, tapi tipikal pasar yang agak berantakan, banyak pedagang yang membiarkan sampah dagangannya di depan kios. Saya pribadi lebih suka pasar kolombo daripada ini karena pilihan sayurnya lebih …",2019-10-14
Dwi Hastuti,"Pasar Demangan bisa jadi salah satu pilihan belanja pasar tradisional di Yogyakarta. Tempatnya cukup strategis dan mudah ditemukan. Namun, sayangnya tata ruang dan prngelolaan kebersihannya masih sangat kurang dan kalo musim penghujan suka …",2020-10-14
Sri Rejeki Utomo,"Pasar rakyat yang dari hari kehari penhumjungnya agak berkurang, pasar ditengah kota mmg tdk seramai 5 atau 10 thn yang lalu. Selain parkirnya yg sempit krn menutupi bahu jalan, tempatnya juga blm rapi.",2020-10-14
Hesti Pratiwi,"Pasar ini, salah satu dari sekian banyak pasar di jogja yg tidak memiliki area parkir. walhasil, parkir kendaraan memakai bahu jalan bahkan separuh jalan kampung belakang pasar. Bongkar muat di depan pasar. truk sampah, ojek, dan becak menambah semrawut area depan pasar yg pasti macet di pagi hari.",2018-10-14
Sulis Tyowatiningsih,"Anter mama beli pisang untuk kedua kali nya, Dan murah banget itu hanya 18.000 aja kalo di Bandung tempat tinggal saya itu bisa 30.000 an, mangga juga murah hanya 9000 kalo di Bandung bisa kena harga 15.000 minimal.",2022-10-14
Arya Wicaksana,"Pengelolaan sampah disini masih kurang baik, dan lalu lintas, serta lahan parkir masih kurang tertata. Lalu lintas jalan raya di depan pasar seringkali menjadi padat. Sebaiknya perlu adanya pengelolaan lanjutan agar pengguna jalan di depan pasar demangan dan masyarakat yang hendak pergi ke pasar demangan bisa sama-sama nyaman.",2018-10-14
Alan Anantyo,"Berbagai sayur dan kebutuhan makanan cukup lengkap, hanya saja untuk kebersihan dan pencahayaan kurang di beberapa area. Tempat parkir untuk pembeli, disebelah utara pasar cukup luas tapi jarak antara parkiran dengan pasar tidak terlalu jauh",2018-10-14
Kifni Taufik Darmawan,"Pasar tradisional, tersedia sembako, sayur - mayur, sampai bahan roti.
Kebersihan masih perlu ditingkatkan, karena ketika masuk masih terasa khas bau pasar, dari sisa sayur busuk atau semacamnya.",2017-10-14
justice,"Tempatnya strategis, banyak jual jajanan pasar, makanannya murah2 tempatnya ramai, tapi jika hujan masih terdapat genangan air, pasar belum bisa dikatakan bersih atau rapi",2019-10-14
Yacinta 17,"Masih termasuk pasar tradisonal,segala macam kebutuhan sehari2 ada disini.ada juga lauk dan sayur yg sdh masak.tempat nya masih berantakan antara pejual makanan,sayur,kios kecil dan pakaian msh blm teratur",2017-10-14
Dwi Ratna,"Pasarnya tidak terlalu bersih, perlu di tingkatkan lagi kebersihan disini agar orang yang ingin berbelanja bisa nyaman, pasarnya terbilang agak becek walaupun tidak hujan.. namun harga belanjaan di pasar ini terbilang cukup terjangkau.",2020-10-14
Dwi Lasri Basirni,Paling sering belanja disini. Tapi ada 1 warung dulunya langganan tp skg gamau jadi langganan lagi karena ibunya super galak dan ga ramah. Takut saya 🤣 masih banyak warung yg lain yg lebih ramah dan bikin saya nyaman belanjanya jadi skip aja buat warung ibu2 yg galak dan ga ramah. …,2021-10-14
Hana Fernando,Agak kumuh. Tidak seperti tahun 1987 an. Penjual TDK teratur. Kalau bisa pedagang diatur lagi.,2023-10-14
ferry kurniawan,"Pasar tradisional di jl gejayan. Lengkap harga murah, biasanya bisa tawar menawar. Semoga berbenah menjadi pasar yang lebih bersih, nyaman, tidak becek dan terkesan kumuh lagi.",2018-10-14
Desta Afifah,"Pasar terdekat dari kost, lumayan lengkap tapi tempat parkirnya yang limit membuat kendaraan yang diparkir sampai ke jalan dan menghambat lalu lintas. Padahal jalan tersebut salah satu jalan yang tingkat lalu lalang kendaraannya padat.",2017-10-14
Yuli Bayu,"Harga relatif murah..  Tp kondisi pasar perlu dibenahi..  Skrg kumuh..  apalagi yg bagian ayam, daging sama ikan..  Selalu licin..  Kasihan klo yg lewat orang tua..
Dan kurang penerangan..",2020-10-14
Ariess Maniess,"Mohon pemkot Jogja agar memperhatikan fasilitas umum di pasar ini, sperti lahan parkir yg sempit, toilet yg terbatas sdh jorok, dan lorong gang yg sempit dan bnyk corcoran yg sdh berlubang.",2019-10-14
evi lestari,"Namanya jg pasar tradisional ya begitulah
Bagi yg belum terbiasa mungkin sedikit syok
Tapi harga dijamin murah dari pada beli2 di swalayan/supermarket *terutama sayur-mayurnya",2017-10-14
Fabia Sabilla,"Pasar Demangan, pasar terdekat dr kost, jadi yaa kalo lagi niat belanja kesana. Gak enaknya disana itu, pasarnya blm tertata siih,, katanya sih beli disini termasuk mahal2..namanya juga pasar ya Bun, kudu pinter nawar, ekeke",2018-10-14
Matthew Sapan,"Kalo tiap Sore lewat sini selalu macet 😂😃
Mohon Pihak Terkait bisa Sedikit menertibkan terutama yg berjualan di pinggir jalan lebih baik suruh jualan di Dalam saja biar sama2 enak 🙏🙏 …",2019-10-14
Sri Hadi,Pasar tradisional terdekat .. Pedagang dah spt sodara.. Suka kesini,2023-10-14
Muhammad Subkhan,"Pasar yg berada ditengah keramaian lalulintas jogja khususnya daerah gejayan..
Pasar nya komplit tp utk parkir agak kesulitan terutama roda 4..",2018-10-14
AP Budi S,"Pasar tradisional kota Yogyakarta yg berada di timur laut berbatasan dgn kabupaten Sleman.
Pasarnya tumpah di jalan Affandi, kalau pagi ramai sekali jalannya.",2017-10-14
Asfira Tadwimil Hikmah,"Pasar tradisional yg paling dekat dengan UNY dan UGM. Pasar ini sangat kurang tertata mana yang bagian sayur, ikan, buah dll. Pasar ini cukup lengkap",2019-10-14
Nova Ulyaa,"salah satu pasar tradisional di Jogjakarta, makin lama makin lengkap mulai buah, sayur, lauk pauk, jajanan pasar, daging, seafood, pakaian, rempah-rempah semua ada disini",2017-10-14
Lili Yuliadi,"Pasar tradisional yang ramai pengunjungnya karena letaknya di tengah kota Jogjakarta, banyak ragam komoditi yang dijual dari kebutuhan pokok hingga kebutuhan lainnya.",2019-10-14
Suparmono,Walau sesungguhnya tidak pas...tapi keberadaan pedagang di trotoar &/pedestrian membantu konsumen/orang yang berbelanja.,2021-10-14
Tuti Harjono,"Kurang rapi... Semestinya jalan tp dibuat jualan, jadi sempit. Susah jaga jarak dimasa pandemi",2022-10-14
Christie Nareswari,Kebanyakan penjualnya ada di pinggir jalan sehingga bangunan pasar menjadi gelap dan sepi,2022-10-14
Rusmadi AG,"Ini adalah salah satu pasar ramai yang berada di tengah kota Jogja. Meski tidak terlalu besar, tapi pasar ini bisa fikatakan selalu ramai..",2017-10-14
Fariz Ardianto,Banyak pedagang gapake masker. Beli tahu tp tahunya udah kecut. Gapapa deh brrt rejeki dia,2020-10-14
rina rahmawati,Pasar ini kalo pagi ramai bangetttt. Kadang bikin macet jalan. But its okay bisa liat beragam karakter orang:)),2018-10-14
Ilham Saputra,"Harganya murah-murah, cukup lengkap, namun kebersihannya harus ditingkatkan lagi, standar pasar tradisional pada umumnya..",2018-10-14
Nanang Prianta,Tempat parkir nya menuhi badan jalan sehingga bikin macet.,2023-10-14
angga sugiyono,"Daerah sini pagi pasti macet , becak parkirnya sampai bahu jalan , jadi otomatis cuma bisa satu jalur keselatan",2017-10-14
Edy Surastro,"Pasar tradisonal ramai cuma sampai jam 9 an, di atas jam 10 sudah sepi...",2021-10-14
Tarmi sodikromo Tarmi gowok,Pasar nya bersih penjual nya ramah2tempat parkirnyadi tata tapi yg jaga sumeh2,2020-10-14
Indah Nursa,"Pasar sempit, lokasi mepet jalan raya sehingga aktifitas pengndara terganggu pada saat pasar beroperasi",2020-10-14
radianna kusetiarini,"Lumayan bersih utk pasar tradisional,  bahan2 yg dijual juga lengkap",2021-10-14
Sri sahid,Dekat dg tempat tinggal...jgn ke super mkt terus ah...pedagang tradisionil jg dibelanjain dong..lebih murah,2017-10-14
tya camel,"Tempat nya agak kumuh,dan susah mncari barang2 kebutuhan,kurang terratur,buah,sayur ndll nyebar,,",2021-10-14
Dwi W.L,Salah satu pasar tradisional di sekitaran demangan dan jl.solo.. jajanan pasar disini lumayan banyak pilihannya.. 😊😆 …,2017-10-14
Nur Azmi Ainul Bashir,Perlu penataan parkir. Area parkir di sebagian badan jalan membuat kondisi lalu lintas menjadi macet.,2017-10-14
Make hudin,Parkir motor dan becak sangat mengganggu lalu lintas. Perlu dicarikan solusi agar parkir di pinggir jalan ditiadakan.,2017-10-14
Minas Reda Safetyana,"Pasarnya ramai, sampai ada dipinggir jalab",2022-10-14
Permadhita Kurniawati,"Ke sini cuma karena makan di bakmi jawanya. Pasarnya sih bersih, cuma ada bau2 khas pasar aja.",2018-10-14
moh. bayu susilo,Pasar tradisional.. murah..tp parkir nya sempit mepet jalan raya,2019-10-14
Sepur Snell,Pasar ini cukup lumayan pilihan belanja kebutuhan sehari-hari,2019-10-14
Nedi Np,Banyak tempat makan lantai 2,2023-12-14
djokopudjo sulistyo,Pasar yang senantiasa menjadi tumpuhan harapan baik pembeli maupun penjual.,2017-10-14
Angga Aditya,Pasar lengkap sayur mayurnya... Tetapi parkiran kurang luas...,2021-10-14
TARI VIDEO,"Dekat dg kota, lengkap, murah, ramai di pagi hari sampe siang, dekat dengan rumah orang tua, padat, ramai",2018-10-14
RIP DENZ,Pasarnya cukup lengkap banyak makanan legend,2022-10-14
Atikah Hidayati,Walaupun blm tertata rapi tp semua yg dicari mesti ada,2020-10-14
Ibnu Mutsanna,Pasarnya kurang begitu bersih semoga kedepanya bisa lebih tertib dan bersih,2020-10-14
JEDDH TV (M.Jedhi Kurniawan),"Harga masih murah2, tapi perlu d tata lagi dan di jaga kebersihan nya lagi",2019-10-14
Nur k hamid (Nurkhamid),"Pasar tradisional dekat UNY. Pasar ini rame, sampai membuat jalan macet.",2017-10-14
Takhori Ar_Rubani,"Rame dan murah"" disini cuma parkir liarann ya perlu di tata lg...he he",2017-10-14
Harry Zahra,Pasarnya kurang terawat. Tempatnya agak kumuh. Parkiran sempit.,2018-10-14
Faizal Ahda,"Yang parkir dan jualan depan pasar, Bikin macet jalan raya 😌 …",2019-10-14
Abo Bontot,Pasar kecil namun ramai...Saking ramainya suka bikin macet,2016-10-14
Nur Fitriana Zumala,"Parkirannya bikin semrawut, jalan tidak terlalu lebar sehingga sering macet",2017-10-14
artha ageng23,Klo pagi sering bikin macet krn byk yg parkir di bahu jln,2017-10-14
Wulan Damayanti,Pasar lumayan lengkap. Tapi untuk tata letaknya kurang pas.,2018-10-14
Antok Susanto,"Pasar di pinggir jalan .
Kadang untuk akses parkir mobil agak susah",2020-10-14
Lelita Yuliana,yg jualan meluber keluar....bikin macet jalan raya,2019-10-14
Deelight Service,Lengkap.. Cuma tempat parkiry belum memadai...,2019-10-14
Alfian Bima,Selayaknya pasar tradisional :(,2023-10-14
Ungke Wader,Lumayan lengkap kebutuhan utk memasak hari²,2020-10-14
Falah Arta,Lumayan banyak penjualnya dan ramai pembeli,2019-10-14
M Ismail,Pasar yang selalu ramai karena dekat kost-kost mahasiswa.,2017-10-14
Kristri Hana,Semoga para pedagang dan pembeli diberi kesehatan selalu 🥰 …,2021-10-14
Dunia Gibran,Lengkap cuma bau sampah d depan nya,2019-10-14
Nur Aini,"Kurang bersih, apalagi kalau pas hujan.... Hmmm",2020-10-14
Naka Tyasnara,"Parkir tidak nyaman, belum ada parkir khusus mobil",2020-10-14
Yohanes Sulistya Adventtyas,"Tempat strategis,tempat parkir kurang leluasa...",2022-10-14
Esterlina N,"Pasar tradisional, lumayan lengkap, penjual juga ramah.",2016-10-14
Andy Prayoga,Terlalu kecil sempit tapi lumayan harga nya murah,2017-10-14
Gigih Satya Jakti,"Parkir susah, jalan raya cukup padat",2021-10-14
nova wahyu,Sedikit lebih Mahal.. tp sayang gak komplit,2020-10-14
BARTONESIA BNA,"Masih belum memecah kemacetan di depan pasar,",2021-10-14
Trisna Samodra,Parkir susah dan kurang terjaga kebersihannya.,2019-10-14
Trie jecker's.,Belanja lebih pagi masih komplit...,2021-10-14
Indra hariawan,"Kurang bersih, parkir blm tertata rapi",2020-10-14
Alif Suparjo,"Masih agak semrawut,kebersihan perlu di tingkatkan.",2021-10-14
tienche291181 291181,Klo pagiiii2 macett pollll ma menjelang magrib,2018-10-14
Enny Lyn,Pasarnya kecil kurang komplit 😊 …,2020-10-14
vinacan kesuma,Banyak pilihan utk berbelanja murah,2020-10-14
Diah Fitri Handayani,Barang2nya lmyn lengkap dan harganya terjangkau.,2017-10-14
umi muslimah,Gampang diakses penjualnya ramah2 loh,2019-10-14
Maman Ahmad mustaman,Suasanya ramai bgt smpai brdesakan...,2022-10-14
Ir Setiyawan,Untuk pasar sementara lumayan lengkap,2020-10-14
dody pranantya,"Akses parkir kendaraan susah, kurag tertata",2018-10-14
mt nevinta,Terlalu sempit sedangkan pengunjungnya ramai 😥 …,2017-10-14
jamus widodo,Parkiran macet..harga biasa tidak murah..,2019-10-14
Lusy Yogyakarta,Cari buah yg berada di depan pasar Demangan,2020-10-14
NoName,Depan pasar tiap hari pasti macet.,2017-10-14
Yohna fortinatus,Pasar e komplit,2020-10-14
yudi irwandy,tempat yg cocok utk kulakan,2020-10-14
Achmad Sya'bani,Antar beli lauk tuk makan siang,2020-10-14
Souris Channel,parkir di tepi jalan menggangu lalu lintas,2017-10-14
KEYKO OIS,Yang jualan diluar kelihatan kumuh,2022-10-14
Cornelius Hanin,Komplit tapi jalannya macet banget,2016-10-14
Adam Amaluddin,Ada parkiran di belakang pasar...,2019-10-14
agus seturan,"Lengkap dan murah, tapi kotor dan bau...",2017-10-14
Jajang Jakaria,Sama kayak pasar pada umumnya,2017-10-14
Yantik,Lumayan rame buka pagi,2022-10-14
indra riyanta,Pasar nya ruamee banget..,2017-10-14
Mardi Yanto,Dekat jalan raya dan sering macet,2018-10-14
Ayutia Khoirotul Channel,Seperti pasar pasar pada umumnya,2021-10-14
Yoan Yoka,Sayang parkiran mengganggu lalu lintas,2019-10-14
Deni Herdian,Sampah deket jalanan mengganggu,2021-10-14
AS N,Pecel lele malam hari enak,2020-10-14
Brq Dagmar Frahadixta,Belum ada perubahan sejak dulu,2019-10-14
dion item,Pasarnya kurang rapi,2019-10-14
Jetis Cokrodiningratan,Susah cari parkir.,2017-10-14
ginanjar dwi saputra,Rada kumuh dan bikin macet,2019-10-14
Aldi Wibowo,Ga tertata rapi,2018-10-14
Pipit Dwi,Agak susah buat parkir,2021-10-14
Arina,Semoga semakin bersih lagi,2018-10-14
Larasati Chairul,bikin macet kalo pagi,2016-10-14
Dedi Jamud,Pasar yang lumayan lengkap,2018-10-14
Makan Kenyang,Pasar tradisional di dekat UNY,2018-10-14
Daniel Sinurat,Agak sempit sih,2020-10-14
Sulistyo Rini,"Crowded, parkir susah",2018-10-14
Irfan Adi,Depan pasar maceet,2020-10-14
