Nama,Ulasan,Tanggal
Ilham Farid Maulana,Pasar yang aktivitasnya kebanyakan di malam hari. Buah dan sayur lengkap disini,2019-10-14
Good Game Poke,Menyediakan berbagai macam sayuran dan buah-buahan,2021-10-14
Retno Vinsi,"Lengkap sih pasar ini, kalau keliling naik motor aja biar enak. Penjualnya juga pada ramah-ramah. Pasarnya luas sampe belakang-belakang. Trus banyak yg jual buat grosiran juga.",2024-01-14
Fajri Hidayat,"Komplit, murah, aman mantap jos jis",2023-10-14
Elizabeth Widuri,Pasar induk buah dan sayur komplit dan berbagai macam lelaukan juga ada spt .. ayam ... ikan .. daging sapi .. tahu tempe bahkan frozen food juga ada .. meskipun pengelolaan kurang namun pasar ini sll jd tujuan utk kulakan pedagang2 sayur …,2024-06-14
Dony Akhja (Dony Akhja),"Pasar Induk terlengkap dengan harga bersahabat didompet Anda.
Saya beli kates sekilo cuma 5rb",2020-10-14
Betiarash,"Saya hampir tiap satu bulan sekali ke pasar Giwangan untuk belanja. Pasar yang ramai banget kalau malam dan lengkap dengan sayur mayur dan buah-buahan. Akses keluar masuknya juga gampang, untuk mobil bisa masuk lewat pintu selatan lalu bayar 2k (belum termasuk parkir).",2023-10-14
Muhammad Taufik,"Tempat kulakan buah dan sayuran serta eceran, ramai pagi dan sore",2024-06-14
Agus Hariyanto,Makan d warung Mbah Darmo krecek pedes nikmat,2023-10-14
Heru Setiawan,Sudah menjadi pasar modern walo masih tradisional krn yg belanja mayoritas berkendara td lg bersepeda seperti pasar2 tradisional dipedesaan tp tetap menjadi favorit dn trlengkap...,2017-10-14
Zaenal Arifin,"Pasar tradisional yang beroperasi 24 jam ini sangat lah ramai tiap harinya, layaknya pasar pada umumnya pasar giwangan menyediakan berbagai kebutuhan anda. Pasarnya bersih penjualnya rama",2018-10-14
FranFrans,"Komplit, buah & sayur melimpah",2022-10-14
yeni primastuti,"Pasar yg sangat komplit, banyak buah dan sayur seger. Di dalem ada yg khusus jual buah grosiran. Di depannya juga banyak penjual buah tapi  eceran. Kesini pas pagi2 jam 6 udah rame, tp gak terlalu crowded. Tempatnya juga bersih.",2023-10-14
Kris Khans,"segala kebutuhan sayur msyur dan buah yg dibutuhkan usaha istri saya ada disini, mau cari yg betul betul fresh tersedia, gak ada jam buka tutupnya alias 24jam",2018-10-14
arif indrianto,pasar 24 jam lengkap di kota jogja,2024-01-14
Jayus Jhaya,"Pusatnya kulak/belanja buah dan sayur, belanja ramai di sore hari sampai malam...",2022-10-14
Mt Alwi,Tempat belanja sayur dan buah kalau pas mudik lengkap murah,2022-10-14
Andreas Yudhi,"bagi saya yang perantauan, adalah wajib halnya saat mudik, wandering around ke tempat yg beginian. nostalgia, mengenang masa kecil, and similar things. saat populasi dan kendaraan belum sepadat sekarang dan hari-hari yg akan datang.",2022-10-14
fefy aryani,Pasar yg buka 24jam .jadi mau masak jam berapa aja aman,2024-04-14
Suradi Bendet,"Wauww, senang sekali belanja di pasar induk giwangan, tersedia komplit aneka kebthn sembako, buah2an,sayuran, daging dll. Pagi sore mlm hari, ccoklah buat brlangganan.",2019-10-14
karwan hilimras,"Tak terlalu ramai, apa mungkin siang kali yah",2024-05-14
dolan bareng,"Pasar yang lengkap beroperasi 24 jam.. Tempatnya pedagang Jogja khususnya buah dan sayur kulakan.
Harga kualitas dan pilihan lebih banyak di pasar Giwangan",2023-12-14
WURDIY ANTO (Antok Listrik),Komplit opo opo Ono murah sisan,2024-09-14
Bechik Jokja,"Pasar sayuran , buah buahan , daging , perkakas dapur juga ada. Tempatnya luas dan terang. Kebersihan terjaga secukupnya oleh pemerintah. Lokasinya strategis dan aksesnya mudah.",2018-10-14
istiawan awan,Buka dari jam 07.00 - 14.30,2024-09-14
Hajimaaa,"Pasar yang menurutku unik karena ramainya itu justru waktu malam hari. Semakin malam semakin ramai, dan suka aja ke pasar ini.",2020-10-14
Nona,Pasar sayur buka malam hari,2024-10-07
Atik Rochayati,Pasar induk kota yogyakarta.  Kulakan buah disini tempatnya. Tapi ada juga pasar ecernya,2020-10-14
Aryo Wandirotomo,Pasar yang buka pagi dan malam (bahkan sampai tengah malam masih ada beberapa yang buka) . …,2023-10-14
Banaran Jogja,Pasar tradisional yg nyaman dan harga murah,2024-05-14
Basuki Ahok Ahok,Saya kerja di pasar giwang kak???dan di musholla Al Falah Giwangan,2024-09-30
Timmy Sapoetra,"Paling seneng kalau malam hari ke Pasar Giwangan
Biasa berburu salak pondoh
Masih bener2 fresh …",2024-01-14
Yudha Pratama,"Pasar induk yang menyediakan segala kebutuhan kita sehari², mulai dari sayur mayur, buah, dan juga kebutuhan pokok lainnya.",2024-01-14
Forgiven,Tempat belanja disore hari....,2024-09-23
Ari Apologist,"Pasar induk, Pasar besar, Pusat kulakan
Tapi klo tidak bisa pintar memilih tempat utk belanja, bakal geblondrok dipasar ini. …",2023-10-14
wahyuni wulansari,"Lengkap banget, dari sayur, ikan sampe ayam ada. Ada spot untuk cari bumbu instan (rempah-rempah) kaya soto, rendang, gule dsb. Toko plastik ada dan ada warung kelontongnya juga",2023-10-14
Abdi Thea,"Segala kebutuhan sayur dan buah ada dipasar ini,super lengkap dan khas jogja",2018-10-14
Anindya Puspita Arumsasi,Kesini pas sore jadi sebagian sayur2nya baru dateng masih seger-seger. Yang jual ikan jg banyak pas sore,2021-10-14
Novantri Dayu,Lebih hemat belanja ke pasar👍👍 …,2022-10-14
Stlusur ID,Bisa Dibilang Pasar Induk Sayurnya Daerah Jogja.. Tampak Terlihat Kecil/Dua Gang Jalan Dari Depan'Tapi Belakangnya Sangat Besar&Luas.. Suatu Nanti Mungkin Ada Renovasi Buat Depan Pasarnya Mungkin.. (Per/Oktober 2023),2023-11-14
Ariffah Hasanah,"traditional market
terkenalnya disini di buah2an banyak bgt yg jual ada spot khusus gitu",2024-02-14
Lisa indah Saputri,"Pasarnya oke...

Ada salah satu penjual  kelapa parut, dan bumbu² sangat tidak ramah , ibu …",2023-10-14
SEKAR TSU,"good place to get our needs of vegies and fruits....in the night time....coean enough but a bit smelly, it's ok anyway.... …",2019-10-14
You Dho,"Pusat belanja tradisional, lengkap apapun ada",2020-10-14
Adekaa,"Solusi tepat buat yg nyari bahan masakan apapun disini lengkap,intinya pintar"" nawar aja",2021-10-14
Robi Barmawanto,"This is traditional market for vegetables, meat, chicken and other agriculture products. If course we will get lower prices than modern market",2020-10-14
Vaaa Lerina,"Glegar new normal suzuki pick up dapatkan banyak discount untuk pengambilan unit pickup suzuki , ertiga dan lainnya. Untuk info lebih lanjut hubungi 087749180799 📞📞 …",2020-10-14
Azzura -tech,"Berbelanja di pasar Giwangan banyak pilihannya, pandai-pandai untuk memilih.",2021-10-14
Slamet Rahayu,"Seneng banget belanja di pasar ini,murah murah di bandingkan dengan pasar yg lain.Pasarnya buka 24 jam lagi,jadi sewaktu waktu bisa belanja di sini.Cocok sekali untuk kulakan.🙏👍 …",2023-10-14
Vitya Wijayanti,Tempat belanja sayur mayurr lengkap dan murah.,2019-10-14
Lejar Eko Lestari,Murah meriah rekkkk 👍 komplit …,2024-08-14
Yudi Bakmijowo,Masakannya enak mantap dengan bumbu rempah bakmi jowo dn ayam jowo asli,2020-10-14
Manunggal Kelapa Mandiri,"barang komplit.
berdesak2kan.. kadang mobil masuk pasar, pemotor2 lewat.",2024-02-14
Yusuf Satriadi Ramadhan,"Banyak sayur komplit murah2,ad bakso enak dn murah..",2021-10-14
Suci Lestari,"Tempat favorit kalau belanja di daerah Jogja biasanya buka dari sore sampai pagi dan pilihan belanja nya juga lengkap baik sayuran,buah,daging ² ikan 🐟 dll ,disarankan kalau kesana bawa keranjang belanja sendiri soalnya biar bisa mengurangi …",2023-10-14
Rahman Dwi Saputro,Pasar induk yang menyediakan kebutuhan buah dan sayuran. biasanya ramai saat malam hari sampai pagi hari.,2018-10-14
Jogja property Solusi,Ini pasar induknya kota jogja...segala macam sayuran buah dn kebutuhan dapur ada...rame dikala pagi dan sore ke malam...kalo siang sepi banyak yang tutup,2023-10-14
Arsi Melindah,"Pasar giwangan kan pasar induk sayuran ya.. tapi harganya lebih mahal dari pasar lainnya
Lebih enak kalau belanja langsung sebut harga misal kau cabe 2000 aja, ya tapi …",2023-10-14
Sulis Marwati,"Baru pertma kali belanja kesini siih,",2023-10-14
Kebun Sehati,Yang punya info penjual pakis sayur bisa hubungi saya 085702205555. terimakasih.,2021-10-14
nadziifah aqila,"pasar giwangan..pasar induk,menyediakan berbagai kebutuhan sehari2,,seperti sayuran, daging,ikan segar dan bumbu2 dapur...cocok buat kulakan...harga sangat murah,,barang yang dijual bagus2...ada parkirannya",2023-10-14
pidhara heni,"Pas buat yg belanja partai besar, lokasi deket terminal giwangan
Yg jual buah banyak pilihan",2021-10-14
Salwa S,"Belanja menyenangkan. Sayur, daging, dsb fresh, harganya murah pula. Pasar yang motornya bisa berhenti di tiap lapaknya. Ngga perlu parkir.",2023-10-14
Wuri Alfiah,"Lengkap semua ada,kebutuhan sehari hari.
Tempatnya strategis dan mudah dijangkau .",2024-02-14
Erick Kevin,"Komplit, murah, kl mobil atau kendaraan besar masuk lewat pintu timur bakalan macet total",2023-12-14
Dimas Ananda Nikola,Pasar giwangan itu adalah pasar yang sangat menarik untuk dicoba untuk mendapatkan hasil yang maksimal cuman 80 itu loh kok bisa sih sebenarnya tidak ada komentar link ke posting ini loh un tu apa yang akan mencoba menarik minat konsumen …,2023-10-14
Laskar Pamungkas,"You can find anything here, really big traditional market in Jogja",2022-10-14
Dan's,"Sangat luass & lengkap mulai dari sayur, buah2an hingga perlengkapan rumah tangga seperti sapu lidi, cobek, panggangan sate dll. Kalau pagi hanya beberapa yg buka, makin sore makin rame. Perlu dibuatkan lahan parkir resmi disisi selatan & utara biar gak macet & semrawut.",2022-10-14
Bella Trimanda Liadi,"Pasarnya cukup bersih, pedagangnya ramah, untuk harga dipasar Giwangan menurut saya lebih murah jika dibandingkan kita belanja di warung sayur, di pasar Giwangan bahannya cukup lengkap mulai dari sayur, rempah,santan dan lainnya",2023-10-14
herry jogja waterfeatures,Pasar buah dan sayur komplit dijogja .letak dekat terminal bis giwangan ..lengkap sayuran . Bumbu . Kelapa . Aneka buah . Sayur . Aneka toko plastik. Toko kelontong .. pokok nya komplitttt,2023-10-14
Sabjan Badio,"Pasar buah dan sayuran terbesar di Jogja. Harus pintar-pintar pilih lapak, ada yang harganya miring, ada pula yang sama saja dengan di luar pasar alias warung biasa. …",2023-10-14
Novika Fatma,"Pasar terlengkap sih, semua ada. Apalagi buah2 segarnya yg buat kulakan banyak dan lengkap",2023-10-14
Tadayoshi Mizuhashi,"pasar favorit nganter istri, mulai nyari bahan lauk sayur, sampai belanja empon empon untuk kebutuhan produksi jamu dan minyak rambut",2023-10-14
Annisa Dwita Nur Fauzia,buanyak bgt kalo mau cari buah sayur segala macem,2024-02-14
Rifki Ismadi,"tempat belanja kebutuhan pokok harga beragam
mohon tuk pengelola di benahi draenashenya yg di gang sebelah utara di sekitar timur mushola lo hujan airnya menggenang",2023-10-14
husni,"Ayo majukan pasar tradisional, mari belanja 😉 …",2018-10-14
D2sd,"Menjual beraneka buah dan sayur mayur ,
Untuk harga termasuk murah jika beli banyak/kulakan, sayur dan buah selalu fresh , …",2022-10-14
Roro Dinar,Buah dan sayurnya lengkap dan murah. Ke sini untuk foto-foto ala pasar ubud.,2018-10-14
Ghinan Nafsi Ramadhan,Banyak makanan murah. Transportasi bisa pakai trans jogja. Nyaman sekali untuk transportasi dalam negeri,2018-10-14
Afi Atika Saputri,Tempat belanja sehari2. Pulang kerja naik motor sm anak2 belanja lele apa bayam..udh termasuk hiling buat akuuh...😄 …,2023-10-14
mbah rhys,"sayuran buah buahan lengkap di sini murah bisa nego nego, dan tentunya fresh",2024-01-14
Yusmanita Virgianti Nan Yetu,"Lokasi tak jauh dari Terminal Bus Giwangan. Untuk para pedagang cukup tertata rapi, tidak kumuh. Penjual sayuran, buah, ikan dan ayam terpisah. Bisa juga kulakan jajan pasar disini. Harga sangat terjangkau. Buka 24 jam. Tapi mulai ramai jam 2 siang sampai jam 8 pagi.",2021-10-14
Koentjoro Soeparno,"Pasar Giwangan pasar dimana saya belanja sayur dan cari makanan kelinci. Paling tidsk seminggu sekali saya beli sayuran untuk para santri msupun di rumah. Akhir2 ini cari rompesan sayuran untuk makanan kelinci. Relasi dengan yg jual jadi kayak sedulur. Sayurnya fresh,  komplit dan murah",2023-10-14
Waluyo Tri Harjono,Banyak pilihannya dengan harga miring,2024-06-14
BEGAWAN SUJATMIKO,baru saja sekitar 3 jam lalu saya mengantar anak SMK N 4 Yogyakarta ke area pasar giwangan. sekarang pasar giwangan tempatnya bersih dan luas. MANTAP 👍👍 …,2023-10-14
Diah Piesesha,"Bagi anda warga yogya .
Pasti tahu  yang namanya pasar giwangan.
Adalah pasar tradisional . …",2019-10-14
Fahmi Auliya,"Pasar terbesar yang pernah saya kunjungi. Pasar ini buka 24 jam, dan semua tersedia lengkap mulai dari sayuran, buah, daging, rempah-rempah, dll. Hanya saja untuk ikan, saya belum menemukan yang menjual ikan masih benar-benar segar di sini. …",2019-10-14
maeke wulandari,"Pasar syur dan buah yng lengkp,
Dimana biasa nya org belanja untuk kbutuhan di jual sndri atau untuk usha sndri. …",2019-10-14
rae vinda,"Belanja disini malam hari bisa sekalian melihat kehidupan malam dan keunikan pasar ini tersendiri..
Soalnya warung buka tp yg jual bisa tidur nyenyak.. 👍🤣🤣 …",2020-10-14
Ahmad Nugroho,"pasar tradisional dan lengkap untuk kebutuhan belanja harian atau bahan jualan. pertama kali kesini, jalanan bersih. juga area jualan bersih, parkir motor cukup. tapi ndak tahu klo parkir mobil posisi sebelah mananya.",2021-10-14
Maha Pametri Pranagari,"Terdiri dari berbagai kios, rata rata buka dari sore hingga subuh, setiap kios dapat dijelajahi menggunakan motor. Saran saya jangan menggunakan mobil untuk berkeliling karna jalannya tidak lebar dan malah susah sendiri kalau macet. Menurut saya cukup lengkap.",2020-10-14
Danny Ardian,"Pasar tradisional komplit di jogja..
Harga grosir..",2023-10-14
Susanti Setya,Parkir banyak luas .dipinggiran pasar .pasar berada di tengah2 jd tinggal muter2 aja mau belanja apa (pasar induk buah)bapak tukang parkirnya ramah2 dan pasar jni 24 non stop .mau blanja jam berapa aja bisa 😂😂😂 …,2021-10-14
