Nama,Ulasan,Tanggal
yulw G,"Saya telah melakukan kesalahan ditempat ini adalah menjual hp saya dengan harga 300rb padahal aku beli 1,200rb",2018-10-14
sri mulyani,Sepi di siang hari...malam hanya pas mlm mgg itupun jk cuaca cerah,2020-10-14
Betty Oppo,"Kurang lengkap, hrg kalo dia tau ank luar daerah hrg jd naik",2019-10-14
Dian Anjar,Mau nanya untuk besok pasar klitikan bukak gak yha,2023-10-14
Mr GREYMA,"Tempat luas, barang apapun ada, hanya pelayanannya yg kurang ramah :(",2017-10-14
Dwi Pujianto,Bagus aman mantab,2024-02-14
Suharto Waluyo,Berbahaya banyak pedagang nakal. Hutang supliyer gak dibayar.,2021-10-14
Gank Tamer,"Tempatnya sangat bagus
Dan banyak barang-barang yg murah",2019-10-14
Michael D'Callisto,Sepi banget dan banyak toko kosong barangnya pun biasa aja,2019-10-14
Eko setiawan Setiawan,Pedagang oke friendly... Tpi keamanan d parkiran zonk..,2020-10-14
Andi Hairi,"Harga murah, kualitas barang yg d jual sangat buruk",2018-10-14
uyun agro,Kurang banyak koleksinya dan mutunya seperti pasar dan toko kebanyakan,2020-10-14
Mego Budi Setiyono,Murahhh bisa nego....barang berkualitas,2021-10-14
Jamalum sidabalok,"Pasar kuncen tidak cocok disebut pasar klithikan...
Buktinya skrg sepi pengunjung...",2019-10-14
sumarno rpl,"Klo ga tau pasaran, malah jatuhnya lebih mahal",2020-10-14
Yennu Ariendra,"I love to hunting used/vintage goods ,  but now days majority of the stands only sell new stuff",2017-10-14
Kartareja Sadam,Dalamnya kotorrrrr....... putung rokok berserakan dimana mana,2021-10-14
Sigit Bayu Saputro,Kurang lengkap seperti yg saya inginkan,2022-10-14
Handy Fadhlan,Sepi pedagang...sepi pembeli dan gak yeeeew,2021-10-14
Edy Kurniawan,Skarang harga2 di pasar klitikan lebih mahal dari pasaran,2020-10-14
Fatchul Qorina,Pasarnya sepi dh muter2 yg di cari gk ada,2018-10-14
Didik Cika (DHIPO SIDIK),Mlaku mlaku cari barang bekas...,2022-10-14
joko noegroho,Berubah konsep jadi jual beli barang baru,2019-10-14
Ikhsan Prabowo,Tidak sesuai esensinya banyak barang KW,2018-10-14
Suyam M,"sering kesana dan orang"" gampang akrab baik dehh",2021-10-14
Wahyudin Septiawan,karena tempat jual beli barang bekas,2020-10-14
jihad pandu wibawa,Menawarkan barang bekas dengan harga yang tinggi..,2018-10-14
Indra Wijanarko,Makin sepi..harganya mahal..,2021-10-14
Gerry S,SaYa kehilang montor disana. Jadi disana tempat yang tidak aman,2019-10-14
Rudi Agus,Kecewa dengan salah satu pedagang yang tidak jujur,2020-10-14
Ricky Pridian,Mahal2 skrng mending online,2021-10-14
Gregorius Aris,Hati-hati banyak oknum pedagang,2019-10-14
siddiq robbani,Tidak tersedia barang yang saya cari,2018-10-14
Djallen edit,Cocok dialterbatif kebutuhan segala bahan,2019-10-14
Adesta Panji,Kurang puas soalnya blm pada buka,2019-10-14
Aditiya Reza,Barangnya menarik,2019-10-14
Irfan Sulo,Harga lebih mahal walaupun ditawar,2019-10-14
albertus ragil,"Tempatnya mahal,,padahal barang curian",2019-10-14
Tik Kil,Harga terjangkau lur,2022-10-14
Mas Sivit,Kurang puas harga ya mahal,2021-10-14
Ms Siget,Semua yg dicari ada,2017-10-14
Mbendol 16yk,Harga terlalu mahal,2018-10-14
ari kurniawan88,Pusat asesoris motor terlengkap,2019-10-14
Adi Setiawan,penjual penipu,2022-10-14
Krisna Adnugrah,Tidak tertata rapi dan nyaman...,2018-10-14
Eka prasmita,Ndak seperti dulu .,2019-10-14
Abdul Akhir,Banyak yg ngapusi..,2020-10-14
awan dani,Lengkap untuk semua aksesoris,2019-10-14
Sri Sro,Belum tertata,2020-10-14
muhammad eko budiyono,Rapi dan bersih,2021-10-14
Arjuna Wirobrajan,lumayan komplit,2017-10-14
Nhonho FKPPI,Sekarang kurang asik,2020-10-14
Dyahnovitabellaajengsari 30,Gatau saya(+_+)(+_+)(+_+),2020-10-14
W NKS,One sad place to visit,2022-10-14
Ityanu Falahin,Pernah kecewa,2020-10-14
rere manyund,Banyak pilihan,2018-10-14
Sujatmiko Sujatmiko,Pedagang licik,2018-10-14
Muhammad Cholid,Prepare,2023-10-14
Ayu Putri,Sempit pssare,2018-10-14
AlFina Nurcahyani,Ada yang nakal,2021-10-14
rahmat bagas ramadhan,gtl,2022-10-14
surya perkasa,Aneh,2020-10-14
Irhamda Abbas,Mantap,2020-10-14
Alfi Awalludin,Bagus,2021-10-14
CTR MEDIA CHANNEL,bagus,2021-10-14
Sandy Rhamadani,Mahal,2020-10-14
Diko Salfano,Bagus,2020-10-14
Wiwid Ernawan,Nyaman,2019-10-14
Kamaruddin M Yusuf,Unik,2019-10-14
Fahmi Kuliner,Bagus,2020-10-14
Ari Kuncoro,biasa,2019-10-14
M nur Faiz,Kurang tau,2020-10-14
Heri Purnomo,"Harus pintar-pintar dalam Nyang, karena Rowo tinggi. Jika Anda memiliki pesan...",2021-10-14
Fakhri Bike Shop,Ini harusnya menjadi penjualan barang bekas. Bahkan berisi item baru,2018-10-14
yosafat fodariawan,Orangnya lamban alias hampir semuanya kurang ramah,2019-10-14
Nur Rofik,Ini sangat mahal,2023-10-14
Sofia Jauza,Mantyappp pasarnya..pasarnya bersih dan rejekinya bagus,2020-10-14
Sugeng Saja,Bar tuku kenok ro setrum,2016-10-14
Agus Supriyo,Oke bangeeet,2023-10-14
so wap,jika,2023-10-14
Faisal eka Putra,Jika,2020-10-14
Bahagia Niqmats,Kemproh,2019-10-14
Baru Samsung,Sepiiiiiiiiiiii,2020-10-14
Danisa Rochma,"Yaampun satu tahun yang lalu kesini masih ramai, sekarang Uda sepi banget mungkin karena koroners ,dan banyak yang tutup.. kasihan sekali, harga nya sekarang mahal2 gak kayak dlu terkenal murahnya",2022-10-14
Zhivaldo Fabio,Udah sepi ya nggak kaya dulu. Hati² banyak penipuan terutama di barang dan harga. Pintar² lah menawar.,2023-10-14
Akinollazel 1610,Bawa onderdil motor harga 1jtan mau dijual murah 600k karna BU malah di tawar 50k hahaha,2023-10-14
morino.2189,"Tempat jual beli-beli barang bekas.
Part-part bekas kendaraan berada di lantai bawah tengah, tidak hanya bekasan saja disini juga tersedia assesoris kendaraan baru, outware semisal helm, pelindung …",2019-10-14
Abdul Razzaq,"What i heard about this place is always open in the late afternoon till night. But when i come at 8 pm, i found nothing. Almost 80% of the antique store was closed. I asked the parkingman where the most of the antique-thing hunter were …",2023-10-14
Aimin Embisa,"Teman gua kehilangan helm terus mau ke sini beli helm lagi eh, malah ketemu helmnya yang hilang di sini dan dengan terpaksa dibeli lagi helmnya. Kan garing alias gak lucu 😁 …",2019-10-14
deni krist,"Tempatnya lumayan lengkap untuk cari peralatan motor,pakaian,sepatu tools..dan pastinya bisa d tawar...hehehhe",2017-10-14
Sugeng Riyadi,Pasar pakuncen  tempat mencari serpart motor complit hargai terjangksu pelayanan memuaskan,2021-10-14
deraLOVA,"minus parkir mahal, sepeda motor kena palak tiga ribu",2020-10-14
ΜξτΗσιεωςΗλ ΔΓα,"Barang tidak lengkap
Pedagang kurang ramah seperti orang lokal",2021-10-14
Chnd,"Kurang begitu memuaskan customer,barang barang ya di tawarkan kurang baik",2020-10-14
muhammad sholeh,"2 kali saya ke pakuncen ternyata kalau siang banyak yang tutup,",2021-10-14
Hesikius Yudha,"Good place for those who want to buy secondhand goods or scavenging phone parts, bike accessories and helmet. Cheap but not too reliable",2017-10-14
Shura Yoga,"HARGA NYA TERLALU MAHAL,  SY SARANIN KE SINI BAWA DUIT YG BANYAK",2022-10-14
Nuri Jogja,Pedagang barang antiknya sdh ganti dagangan.. (tidak punya ciri khas lg).,2017-10-14
Reza Erfan,Harus pandai2 menawar banyak barang gak jelas,2018-10-14
Masbukhin Hidayat,"Produk pasaran,
Harga lebih mahal,
Banyak penjual tidak jujur.",2021-10-14
RAMA DANI SAPUTRO,"Murah sih tapi mahal gada wifinya, parkirnya mahal",2021-10-14
Mas Mito,"Tempatnya sedikit berantakan, harganya nego. Butuh keahlian tawar menawar",2018-10-14
andrean tirtayasa,Tidak banyak ragam barang yang ditawarkan. Harga yang dikenakan selangit.,2018-10-14
Ferri Alexander,Klithikan kok yang dijual barang baru?,2023-10-14
Mirad Rians,barng nya mahal2 kalo ga brani nawar...,2018-10-14
Bang Badut,Kurang diramaikan penjual barang dagangan unik lainnya,2017-10-14
Agust Subiyantoro,Uda biasa ga banyak yg menarik,2022-10-14
Martha Julya,"Penjualnya. Byk omong ,,,  sini beli ug  byk ceramah",2020-10-14
chandra tjs,this place had previously sold a variety of cheap and quality flea goods. but now it's changing like an ordinary market that sells goods in general,2019-10-14
Gun Toro,"Ya lumayan lah, tapi buka nya aga siang",2020-10-14
Manyul Ikhsan,Penjualnya ramah tapi juga ada yg tidak,2021-10-14
putry wicaksono,Barang yg dicari tdk ada,2020-10-14
YN story,Entahlah aku hanya tidak menyukainya saja.,2020-10-14
Aji Darmawan,Nyari spakbor scoopy gak ada,2019-10-14
Putra Dimas Cahya,Sdah kumuh dan bnyak motor yg masuk ke pasar,2018-10-14
Faisal Nur ismianto,Sangat membantu apalagi di. Jam malam,2021-10-14
M Faishol el-lawi,Pasar sederhana dengan aneka dagangan yg lengkap,2019-10-14
S Gendhis,Sepi dn barangny mahal mahal,2020-10-14
methodius riantono,Pasar loak yg dijual barang baru???,2018-10-14
pade mad mamad (mad),kurang enak,2023-11-14
sunu bismel,Yg jual helm waton,2020-10-14
Yanna Rosmanda Putra,Pedagang kurang welcome,2022-10-14
Zr Rony Ronyzr,"Tempat nya kurang ter tata rapi,",2020-10-14
Agus Purnomo,Selama covid19 pasar relatif sepi,2022-10-14
risk dwi rahayu,Mantul murah murah,2022-10-14
Unyil Rangga,Murah berkualitas,2021-10-14
herida herida,Sepi...banyak yg tutup,2020-10-14
Rini Enny,Tempatnya sepi pengunjung skrg,2020-10-14
dhe mar noe Yahya,Tempatnya kotor,2022-10-14
Aryanti Marcella,Kurang banyak barangnya,2019-10-14
Bowo Arsun,Makin mahal aja disini,2017-10-14
Sinyo Cakepp,Buka nya siang,2021-10-14
KarjoPhotography,Udah mulai sepi,2020-10-14
Fahrul Gunawan,Kurang ada tempat nongkrong,2018-10-14
Rizzu,prices cheap but there some seller who less than serve,2017-10-14
Goa Jomblang,lantai atas sepi,2017-10-14
Asep Kun,"Masih mahal"" :v",2018-10-14
Djanu Indriarto,Harus pinter nawar,2020-10-14
agung sutrisno,Semoga ramah,2021-10-14
pham chabita,harga mahal2,2019-10-14
KESOREAN LAGI,Bersih dan aman,2019-10-14
Hikaru Satria,overrated,2024-02-14
Ega Manggala,Tempatnya gimana gitu,2017-10-14
Ambyah Katamsi,Cuma parlor Mobil susah,2017-10-14
AD12 Pbg,😁😂😂 …,2017-10-14
Ragil Wicaksono,"Waaaa, you know lah",2018-10-14
dwek gondrong,Kebersihan nya kurang,2019-10-14
pulung ireng,kurang lengkap,2019-10-14
Danny Ardiansyah,Kurang komplit,2019-10-14
edoardo sri martono,Seperti tidak terawat,2019-10-14
Isma R,Banyak barang barang ya na na na,2018-10-14
Eko Rishantono,Sepi~,2018-10-14
"Obat pria o,ong O,ong",Bagus,2022-10-14
wiwid _352,Suasana nyaman,2019-10-14
Cladza Ok,Top,2023-10-14
Yostina,Bagus.,2019-10-14
teguh soe Priyono,Baramg baru ....,2019-10-14
Koko,barang² kw,2019-10-14
Wow haha,Jelek,2020-10-14
Anwar Setyawan,sederhana,2019-10-14
andi hidayat,Murah,2017-10-14
siddiq febriyanto,Pinter-pinter nawar,2017-10-14
Budi Setiawan,Mantap,2018-10-14
Mafruchin Achmad,Lengkap,2018-10-14
Wiratno Widji Mulyanto,Biasa,2017-10-14
damar muhisa,mahal mahal,2018-10-14
Frida Syaflia,Mayan,2017-10-14
Raditya Dwi,"Ya, ini",2024-05-14
Aria Yogjakarta,"Sudah tidak terpakai lagi tapi sebagian besar masih baru..
..",2022-10-14
Agung Bhaktiyar,Tempat menjual barang bekas. Sekarang sepi untuk dijual,2019-10-14
Tegar Narajati,Hatinya hancur,2019-10-14
ZogaLazo Motovlog,Sangat ramai,2020-10-14
ronin masiomah,Sayang,2017-10-14
Satrio Satrio,Banyak hal,2020-10-14
Tjoong San,Klitikan,2019-10-14
grenis kaneka,Sangat memprihatinkan. Semenjak adanya toko online. Klitikan ga serame dulu. Meskipun onderdil motor masih jalan,2024-09-14
Rinancang Mutia,"Harus jeli banget pilih barang, apa lagi kalau barang bekas, soalnya kadang ada pedagang yang kebangetan nutupin keburukan barang yang dijualnya, ada pedagang yang galak juga maksa ke pembeli, kalau dari segi tempatnya sih lumayan rapi dan bersih",2018-10-14
SHB 189,"Berbelanja barang bekas dan baru. Harga barang tergantung nego pembeli dan penjual, tapi untuk barang baru rata-rata harganya sama dengan toko.
Tempatnya kurang tertata rapi.",2024-03-14
Subur Mutram,Mudah ditemukan...Parkir nyaman...Banyak pilihan..,2024-05-14
As Ari,"barang barangnya makin monoton ya, ga sevariatif dulu.",2019-10-14
Phimen All,"Lumayan lengkap barang""sperpat yg dijual disana. Dari yg baru sampai barang second yg masih layak pakai. Bisa pesan dgn penjual jika ada barang yg dicari nggak ada. Tapi harus pintar""memilih barang sama tau harga nya klu nggak tau ya kadang mungkin dapat harga malah lebih mahal dari harga baru nya. Tetap hati""dalam memilih barang",2022-10-14
MARG. Ir.,"Hingga 2019 cukup menjanjikan dalam hal perdagangan.Setelah ada covid (2020),hingga saat ini perdagangan sungguh lesu....😔 …",2023-12-14
Fulan. al-fakir,"Menyediakan berbagai sparepat motor, variasi motor, helm dll.",2024-01-14
Yana Roester,Harus pintar nawar jd dapat harga murah .,2018-10-14
Yohanes E. W,"Bagi yang suka barang bekas, ataupun baru tapi murah walaupun KW. Disini tempatnya. Dari onderdil motor bekas sampai HP bekas ada di sini. Buka dari jam 10 pagi sampai 10 malam berupa pasar barang bekas. Disini juga tersedia sparepart bagi yang suka modifikasi motor. Menawar harga diwajibkan disini. Selamat berburu barang bekas..",2019-10-14
Sudamar Nur Ma'rufi,"Salah satu pasar yang terkenal menjual bermacam-macam aksesoris motor, baik baru maupun second. Namun bukan hanya menjaul aksesoris motor saja, yang lain pun juga bermacam-macam, pakaian, HP bahkan sampai barang² antik pun ada. …",2019-10-14
Daru Dewanto,Lumayan lengkap. Tp banyak jg yg kiosnya tutup.. trus di beberapa kios ga ada fasilitas buat coba barang. Saya pernah beli velg kan sewajarnya bs dicek bengkok atau ga.. miring atau ga.. tp di kios itu ga bs cek krn ga ada alatnya. Alhasil setelah dipasang di rmh trmyata bengkok. Tp ya resiko kl barang loak emang begitu..,2019-10-14
Faridhotul Khasanah,"Yaaaa hampir kayak bringharjo, hanya saja disini jual segala kebutuhan rumah tangga. Ada ponsel jg, ada jam, baju, helm, mulai dari yang baru sampai yang bekas juga ada. Parkir 2.000. Pelayanan tergantung dari pemilik toko setiap Los. Karena yang punya los berbeda beda.",2018-10-14
eccy shima lumanto,"Disini banyak terdapat sparepart motor dan mobil baik bekas maupun baru,sparepart variasi,alat2 teknik,baju,topi,kacamata,sepatu di lantai 1. Untuk di lantai 2 hanya untuk handphone dan accesoris hp baik bekas dan baru. Kebersihan cukup. Harga lumayan miring",2018-10-14
the Leanders,"pinter pinter nawar kalo beli sesuatu disini atau setidaknya tau lebih dahulu harga dari barang yg kita cari dari sumber lain kalo ga mau malah kena harga mahal. Untuk pemburu barang bekas, tersedia bbrapa lokasi, tapi kebanyakan barang …",2018-10-14
Lulut Muhammad Candra,"Tempat jual beli barang bekas yang masih bisa di gunakan, akan tetapi pedagang ada juga yang menjual barang baru. Harga lumayan miring. Harus jeli melihat barangnya, karena barang bekas pasti ada minusnya. Jadi harus sabar memastikan barang yang di beli pantas di hargai senilai harga yang di sepakati. Harga bisa di tawar.",2018-10-14
Edy Surastro,Bisa beli barang second atau baru,2024-05-14
SIMPLETRIP,Kalau tidak salah pasar ini dibangun untuk memberikan tempat berjualan yang layak bagi pedagang barang2  bekas tapi masih berguna (klitikan) yang keberadaannya menyebar di Kota Yogyakarta dan berjualan di trotoar jalan. …,2020-10-14
"Reku Hizaki, drg","Pasar tempat jual beli berbagai macam barang, mulai dari barang baru hingga barang bekas. Paling banyak disini aja penjual pakaian. Lalu ada penjual aksesoris otomotif baru dan bekas, helm-helm baru dan bekas (konon katanya kebanyakan helm …",2019-10-14
brigitta sinuhaji,"Kalau mau cari barang baru atau bekas, silahkan mampir. Tapi harus tetap waspada dan berhati-hati... Untuk harga tergantung pribadi, bisa nawar atau ga... Oh, bisa jual beli barang bekas juga kok...",2021-10-14
Agus Salim,"..lumayan ramah penjualnya khas jogya, rapi kiosnya, tdk berdesak desak, harga damai saja..oye
.",2023-10-14
ervan harris kristanto,"Pasar penjualan spare part motor, katanya sih klo pasar klitikan murah harganya, menurut saya nggak juga, bahkan lebih mahal daripada online, agak kecewa sih beli beli disini",2023-10-14
Dyta Frandini,Rekomendasi beli sepatu ventela dari temen saya niki aldi putra trnyata tidak ada dan tidak sesuai dengan yg diharapkan. Niki engkau luar biasa 👌 …,2022-10-14
Rosiana Putri,Tempat jual beli barang bekas/baru di jogja yang terletak di pusat kota jogja.,2020-10-14
hery yansyah,"Seperti pasar pada umumnya, hanya disini menjual barang² elektronik seperti handphone, bakas maupun baru. Alat² olahrga, kelengkapan berkendara seperti helm, dll",2021-10-14
Banu Nugroho,"Tempat berdagang klitikan, utk jual beli barang bekas maupun baru, dari asesories..spd motor,elektronik, hp, sampai spatu baru maupun bekas, masih banyak kios yg masih tutup akibat pandemi,.belum berakhir,
Buka dr.pk.08.30 smp 20.oo",2022-10-14
tari widiastuti,Dr dulu udah terkenal bgt ni pasar.. ada barang bekas sampe barang baru jg ada.. jualan ala distroo banyak dsni.. dlu sih.. pda ramah2 penjualnya.. skrg ga berlaku lagi nmanya pembeli adalah raja disini.. rada krg nyaman.. wc nya jg kurang d perhatikan.. jd kasih 3stars dl deh.. lain kali pas ksini smoga udah berubah lebih baik.. amin..,2020-10-14
Raden Mas Yogi Priyanto,"Disini, kuncinya adalah adu pintar tawar-menawar!
Pasar Klitikan menarik untuk dikunjungi sewaktu anda berlibur ke Jogja. Harga yang ditawarkan biasanya akan jauh lebih mahal pada awalnya, namun kuncinya …",2020-10-14
Ahmad Amin,"Kadang2 bisa menemukan barang antik secara tidak sengaja. Sayang sekali pasar ini berbeda dengan pasar yang lain, yang langsung ramai saat pasar baru buka. Pasar buka mulai jam 10.00, tapi hanya 10% yang sudah siap buka. Pasar semakin ramai ketika sudah sore.",2020-10-14
Mulyasari Bunaya,"Apa yah? Kalo mau sparepart motor or Mobil bekas, mending keliling dulu. Harganya hampir sama kaya baru, trus liat ditoko lain eh murahh. Jadi nyesel ga keliling",2019-10-14
yume chan,"Menjual banyak barang baik itu baru maupun bekas
Pasar Klithikan ini pada awalnya merupakan pasar hewan. Dan pada saat ini pasar hewan dipindah ke Ambarketawang Gamping …",2019-10-14
Brank Yudi,"Semrawut tempatnya, kurang tertata. Padahal potensial sebagai pusat aksesoris motor dan material motor custom.. Mudah-mudahan ada perbaikan pengelolaan. Bisa jadi rujukan bagi penikmat dan para builder motor",2021-10-14
IDUB HERMAWAN,"Pasar klitikan yang menjelma tak hanyaemjual barang bekas saja.....
Ada produk elektronik,handphone,alat musik,fashion,sparepart dan aksesoris kendaraan baru maupun second. …",2018-10-14
tonny sugiarto,"Tempat rekomendasi untuk cari brg bekas kondisi lumayan dan jual brg bekas, apapun jenis brgnya, tersedia juga barang2 baru siap jual, buat cari brg hrg miring mantap👍 …",2022-10-14
Tryto Stilldrawing,Udah ga terlalu lengkap..banyak yg tutup dan harga standart ga murah2 bgt..ada yang barang bekas ada yg barang baru tp KW 😁sepi ga terlalu rame..lante atas isinya konter hape …,2019-10-14
Yudhistira Dharma,"Sell second hand items, I saw also a vintage item from the pass. Like old camera and lens, old motorbike part and many more.",2019-10-14
Guzmo Vgloss,"Pengelolaan lahan parkir untuk mobil lebih diperhatikan.
Saran: Untuk kios pakaian di switch ke kios hp/dekat pintu masuk, kios hp di bagian belakang. Karena pengunjung kios pakaian kurang diminati, sehingga ada balancing trafic pengunjung, agar tidak terlihat sepi di bagian kios paling belakang.",2018-10-14
Dwi W.L,"Cari barang second hand di Jogja?? Udah cobain dateng kesini aja.. dr mulai sepatu n sendal, helm, jaket kulit dan barang antik lawasan disini semua ada... pesennya, karna ditempat ini selalu ramai dan padet pengunjung, jaga barang bawaan pribadi masing2..",2017-10-14
andi wicahyo,Saya biasanya datang ke tempat ini untuk membeli sperpart bekas maupun baru untuk sepeda motor. Ada juga jual beli gadget di lantai atas. Di bagian belakang tempat berjualan pakaian. Harganya? Tergantung anda bisa nego atau tidak.,2017-10-14
Kisworo Rahayu,"Sebagian besar barang2 second, onderdil sepeda motor, helm dll. Tp skrg sdh byk yg menjual barang2 baru. Kios fashion mulai banyak. Tempatnya mudah dijangkau.",2016-10-14
Anas Gunarto,"Telah di dominasi barang2 baru. Sedikit loakannya, baiknya kesini malam hari.",2017-10-14
AZAM GO HOLIDAY - Finance,"Bener² barang bekas semua dan gak recommended u yg cari barang unik atau lawas. Gak lengkap! Gak memuaskan, barang cm dikit banget!",2022-10-14
elizabeth widi,"Yang jual udah ndak se komplit dulu, skrg udah sepi.",2023-10-14
tomy is,Judulnya pasar klithikan tp hampir 85% yg dijual disana barang barang baru . yahh tinggal pinter2 nawar aja . sebelum beli barang disana ada baiknya cek harga di luar/toko,2019-10-14
KANG WARDI Gunungkidul,"Semua kebutuhan barang ada. Electro, pakaian, perhiasan, oderdel mtor mobil, camera, sepatu, suku cadang, service hp, hp dan tab baru bekas. Semua di pasar klitikan Jogjos.",2017-10-14
sriyono koe,"Salah satu pusat barang bekas di Jogjakarta, plang nama kurang jelas sehingga kesulitan untuk konsumen baru, pagi sampai siang belum banyak tenant buka, harga relatif mahal, parkir cukup lumayan",2019-10-14
Antonius Silaswara,"Barang bekas sedikit, banyakan barang2 baru",2024-01-14
Lingga Badra Purwana,"Cari2 barang di sini, asal mau nyarinya. Hampir semuanya ada., helm, hp, kamera, sepeda, sparepart otomotif ori n kw, bingung dah ...buanyak",2021-10-14
Mohammad Solihin,"Pasarnya banyak yang kosong.
Terlihat sepi
Kesana waktu siang",2023-10-14
Tabita Dhani,"Klithikan skrg sdh jauh berbeda dari awal kemunculannya. Dulu sewaktu di jalan mangkubumi, hampir semua produk yg dijual adalah barang bekas, tapi sekarang bisa dibilang 70% yg dijual barang baru semua",2017-10-14
Khoerul Umam,"tempat mencari atau jual beli barang baru maupun bekas..tersedia berbagai macam kebutuhan, dari otomotif, fashion, makanan, gadget, elektronik dll.. tinggal pinter"" nawar dan teliti aja",2019-10-14
serdadu kompeni,Banyak barang barunya.  Untuk barang bekas bisa dihitung jari..  Yg jual kebanyakan bukan orang asli jogja.. Tapi nyaman bersih..,2017-10-14
siti nur utami,"Harus pinter nawar kalo disini. Ya walopun barangnya ngga begitu lengkap, tapi yaa adalah barang2 baru sek dicari.",2022-10-14
Aviga Juliandana,"Kalo mau cari barang murah dan spare part disini lumayan lengkap, tapi selalu waspada ajaa takut kecopetan dsb.",2019-10-14
Adi Adi,Di pasar klitikan banyak jual beli barang elektronik sukucadang motor dan pakaian tempatnya cukup lumayan bersih,2022-10-14
Krisna Ria,"Tempt nya enak banyak pilihan , apa2 ada cm 1 yg gk ngenakkan",2023-10-14
Apfran Widerrizky,"Banyak menjual peralatan seperti handphone baru/bekas, spare part motor baru/bekas/variasi, pakaian pria maupun wanita",2018-10-14
rahayu sugiarti,Dulu isinya barang-barang bekas. Keren. Buat penyuka barang antik dan second hand ini tempat keren. Sekarang isinya pakaian2an  dan sepatu2. Ga keren lagi. Ga beda jauh sama pasar biasa,2017-10-14
Rhazes Wahyu,"Kalau non yogya atau gabisa bahasa jawa, harga suka dimahalin",2023-10-14
