Nama,Ulasan,Tanggal
agus choirul,Bikin macet dipagi hari wkwkwk...,2019-10-14
Donnelly Don,👍 …,2023-10-14
dewi wijayanti,"Lumayan agak.kotor, harga murah2",2020-10-14
Purnomo Chandra,lumayan bersih pasarnya,2020-10-14
Udi Urhadi,Rame klu pagi,2021-10-14
Titik Karyati,Lengkap sih tapi kebersihan kurang,2018-10-14
Rizky Oktavianto,Luberan pedagang bikin macet,2021-10-14
Lalu Syaeful,Murah kok,2019-10-14
bunga trotoar,pasar kecil tapi rame pengunjung,2019-10-14
SehariPrimitif,"kalau ke pasar pasti ke sini, bersih",2018-10-14
Gendhis nada mahira,golek daging sapi,2021-10-14
Chandra Budy,Pasar tradisional yg brrsih,2020-10-14
radevant saptono,Kebersihan perlu ditingkatkaan,2021-10-14
Fritson Tinambunan,Cukup menarik,2018-10-14
haka gayeng,coba dan rasakan,2018-10-14
Ulva Agustiningsih,Lumayan.,2021-10-14
Abbadilah Widhodho H H,Sayur lengkap,2020-10-14
Ponda Rahadyan,Lumayan komplit,2019-10-14
erich jumanji,Lumayan enak,2017-10-14
Baderu Ohhyess,ohh wow,2017-10-14
Runaga 79,Semrawut,2022-10-14
Haryadi NLN,Cukup rame,2017-10-14
Yan Yuliana,Gampang di jangkai,2017-10-14
Yas Transport92,Bagus lengkap,2017-10-14
anjar pamilih,Kurang lengkap,2017-10-14
supri yanto,Belanja sembako,2022-10-14
Bakul Iwak chanel,ramai pengunjung,2019-10-14
Yuni Triastuti,Freindly,2017-10-14
sas ti,Lumayan,2017-10-14
Nugie Nugroho,Tempat kurang nyaman,2018-10-14
Wishnu Icarus89,murah,2019-10-14
edi praptono,Lumayan,2018-10-14
Elsa Elsa,Ramai,2018-10-14
Jeihan Rafli,Crowd,2020-10-14
no name,Pasar sayur,2021-10-14
Sri Maryani,Pasar tradisional,2018-10-14
sukardi lestari,"Kurang nyaman, banyak orang lalu lalang",2017-10-14
Antonius Widyatmoko,Pasar tradisional ramai,2019-10-14
Se Yool,dimana ini,2018-10-14
sugeng riyadi,Tempat untuk mencoba,2021-10-14
fabshop kudus,Rmai,2017-10-14
H.C Himawan Class,Serruuu,2018-10-14
Nugroho Wibowo,k7e33e o,2021-10-14
Dunia Azhim,Pasar Sentul dengan penampilan yang terbaru sekarang semakin rapih...,2024-07-14
Septiana Theana,"bersih ,untuk parkiran yg depan pintu masuk agak ruwet saat keadaan ramai",2024-04-14
Michael & IChaa,"Pasar Sentul after renovation.

Jadi bagus dan bersihhh banget. …",2024-04-14
Bint Putra,"Mencoba kuliner di roof top pasar Sentul.
Untuk macam kuliner cukup variatif: bakso, soto, es teler, rujak es cream, siomay dll buka pagi dan rata2 tutup jam 13 karena pasar tradisional bawah juga mulai …",2024-06-14
F Muhammad,They have clean and tidy food court in the 3rd floor. Some of them open until the night so don't to be worry if you getting hungry after shopping,2024-06-14
Nat N,"Sepertinya pasar ini baru direnovasi. Terlihat bagus dan rapi.
Belum sempat masuk tapi sudah berapa kali lewat sini.",2024-07-14
Heru Indradi,"Suasana baru, cukup bersih dan rapi, tapi semua lapak belum terisi, untuk food court juga belum buka.",2024-05-14
Rahmat Hidayat,"Pasar tradisional di pusat kota Yogyakarta tepatnya di Pakualaman, tersedia berbagai macam kebutuhan sehari-hari, jajanan pasar khas yogyakarta juga ada seperti lopis, gudangan, dll.",2022-10-14
sudjanto 53,"Pasar yg sdh berdiri lama dan tdk jauh dari pusat kota jogja
Baru baru ini direnovasi menjadi bangunan pasarnya jadi bertingkat, bagus, bersih dan terkesan modern",2024-04-14
Aditya Mahaputra,"buat yg di daerah pakualaman/ Sultan Agung, ini pasar yg recomended nihh, isinya lumayan lengkap buat nyari apa apa, tapi jam 10an dah mulai tutup",2019-10-14
Purnomo Samiyana,"Pasar traditional di dekat Puro Pakualaman, kalau pagi ramai banget. 20220619.",2022-10-14
irawan “Roy” roy,"Sekarang bersih dan tertata rapi, toiletnya jg lumayan bersih",2024-06-14
Alifazizah Mentari,Penjualnya ramah. Laiknya pasar pada umumnya. Tertib.,2019-10-14
Setyaningsih Ramli,"Tiap tahun berkunjung ditempat ini utk belanja bahan rendang, kalau dulu sering beli makanan /jajan pasar disana, karena rasanya enak dan masih tradisional",2023-10-14
Yuli Dwi Sarwanto,Sering berkunjung kesini kalau malam pas di jogja karena mau beli gudeg mercon pasar sentul,2022-10-14
Imas Adriyanto,"+ Lokasi mudah dijangkau & tengah kota
+ Beberapa item sayuran harganya cukup murah tidak kalah dengan terminal induk Giwangan ataupun Beringharjo …",2021-10-14
Susana Endah,"Bakmi jawa enak,murah",2024-09-14
Mahardika Channel (Mico Mahardika Channel),"Didepan pasar sentul kalau malam ada yang jualan Gudeg. Rasa ok, Harga Ok. Mau ketoilet ada toilet/kamar mandi umum, cukup bersih . ada 3 unit.",2022-10-14
Riyatn Rio,Pasar tradisional yang berada di jalan Sultan Agung Yogyakarta disini seperti pasar tradisional pada umumnya menyediakan berbagai macam kebutuhan sehari baik sembako dan keperluan lainnya,2022-10-14
Sutarno Darmo,"Di pasar tradisional ini kegiatan pasar dimulai sejak dini hari sampai sekitar jam 10, diperdagangkan segala kebutuhan sehari-hari, utamanya segala jenis ikan segar yang jarang ditemui di pasar tradisional lain di kota yogya.",2020-10-14
kabellurus,"Pasarnya bersih [untuk standar pasar tradisional], rapi, aman.
Pedagang membludak sampai perempatan Tamsis saat masih pagi-gelap. Merangkak siang, mulai berkurang. …",2016-10-14
Flo Florida,"Ok nih pasarnya. Ada yg jual cabe giling (yg susah bgt d cari kalo pasar lain, kecuali pasar Giwangan). Tapi tutupnya ceper banget 😂. Btw, buat tmn² yg mau ke pasar pagi², disini udah ada yg jualan lho habis Subuh gitu..  selamat masak guys 😊 …",2020-10-14
Agung Nurmajid,"Pasar yang mungkin sama tuanya dengan Puro Pakualaman, mengingat statusnya sebagai Pasar Gede-nya Kadipaten Pakualaman. Gak jauh dari rumah, hanya jalan kaki 15 menit. …",2017-10-14
hernawan senja,"Pasar ini subuh pun sudah buka dan memiliki banyak pedagang yg menyediakan aneka jenis sayuran, daging , ikan dan bahan baku lainnya.. ramai banget di jam-jam 06-07.. jadi hati-hati",2016-10-14
ratna cahyaningtyas,Tempat beli ikan dan bahan masakan murah2 dan segeeer. Cuma kalo cari jajan pasar dikiiit banget. Jadi pulang dari pasar nggak bawa jajan pasar krn pilihannya cuma itu2 aja ehehehe,2021-10-14
Abdul Hamid,"Pasar tradisional, penataan lumayan bagus, puncak keramaian di pagi hari. Tersedia kebutuhan pokok sehari-hari terutama sembako. Persaingan terbuka harga normal sesuai kondisi pasar besar terdekat.",2016-10-14
Peter Gunawan,"Masih tradisonal blm di bangun ulang..
saya kalau ke sentul tidak lupa beli tahu tempe murni lapak bpk wasjari..
rasanya mantab... …",2021-10-14
Pius Kunto Official,"Pasar yg rame terus sampe siang hari, pedangan nya cukup bnyak, komplit pula dagangan nya, mungkin masukan utuk pengelola perbnyak tempat sampah.",2019-10-14
Yanti Fitrianingrum,Pasar tradisional. Lumayan terjangkau harga2nya. Keasyikan tersendiri tawar menawar dengan pedagangnya. Kalau lebih pagi lagi. Dijamin sayuran murah2 melimpah.,2019-10-14
Priyanto Suzuki,"Pasar di tengah kota, dg harga merakyat. Cuma sayangnya belum tertata rapi kl pagi...",2023-10-14
Dewi Riani Wulandari,"Belanja disini enaknya pagi2x sebelum jam 6 ,parkir depan pasar belanja di halaman pasar aja TDK usah masuk ,dan jam 5 pagi yang jualan sudah banyak",2021-10-14
Irvan Muchsin,Aman nyaman tetapi masih harus di tingkatkan kebersihan outlet agar pengunjung makin banyak dan mudah mencari kebutuhan nya,2022-10-14
Ikha F,Kemaren Minggu kepasar Sentul ternyata per 1 mei kmrn pindah sementara di Deket daerah kalimambu,2023-10-14
Tony Nursidiq,"Pasar perbelanjaan daerah pakualaman, tempat cukup luas, lumayan komplit.
Parkiran mobil yang kurang luas, banyak kendaraan besar untuk droping barang.
Tapi oke lah",2019-10-14
Riska F. Seiei,Tangganya gak enak. Terlalu tinggi,2024-04-14
Gak Tau Kemana,"Pasar sentul ini mulai buka pukul 03.00 WIB sampai dengan siang hari, banyak sekali jajanan tradisonal yang dijual di pasar sentul ini",2020-10-14
Erick Kevin,"Harga rata2 pasar, rame di pagi hari, komplit, kebersihan kurang trutama kl hujan, bocor dimana2",2022-10-14
Arif Rahman,"Bagus untuk belanja mingguan tempatnya lumayan kering jd nyaman bagi pembeli, cuma kurang tertata rapi dan banyak objek yg mengganggu",2021-10-14
Minati Pamela,"Sayurannys lengkap, tapi harus pintar menawar krn terkadang harga yg ditawarkan lebih tinggi dari harga yg lainnya.",2017-10-14
yunita sulistyaningtyas,"Another traditional market in yogyakarta. Here i have found a great gem. I found ""soto daging"". This soto is very recommended for portion and taste. You will have much beef on the top of bowl, you can add meatball and fried meatball. 👌👌 …",2020-10-14
Arief Rahman,"Pasar yang buka sebelum shubuh, dengan harga yang relatif lebih murah dibanding pasar lain di kota jogja",2022-10-14
Andiani Cahyaningsih,Pasar bahan pangan sehari-hari.  Harus datang pagi sekali kalau ingin dapat belanjaan lengkap.,2021-10-14
Veny Diastika,"Pasarnya tdk terlalu besar, tp lumayan lengkap. Pasarnya dr pagi smpe siang2. Ada tempat parut kelapa jg di sblh timur pasar sentul.",2019-10-14
Hana,"Kesini kalau butuh jagung manis atau beli soto sapi langganan. Kalau hujan, becek bngt. Mungkin ada baiknya sedikit dibenahi biar g terlalu becek.",2020-10-14
Sari Martha,Pasar yg ada di kota Jogja. Selalu ramai di pagi hari. Cukup lengkap kalau mau belanja disana,2021-10-14
Imawati Leres Utami,Pasar yg paling dekat dengan rumah.  Lengkap.  Aneka sayur mayur.  Jajanan pasar yg harganya terjangkau.  Ada bri link jg didalamnya..,2019-10-14
Rahma Pratiwi,"Suka banget kesini pasti mampir beli kue pukis disini rasanya nangih banget,soalnya",2022-10-14
Muhammad Irsad,"Pasar yang bersih, rapih & tertata
Banyak makanan tiwul getuk segala macam, kalo sarapan suka nyari makanan ke pasar sentul",2019-10-14
BG Pekox93,"tempat buat belanja kebutuhan rumah tanga harga murah"" dan sayur fresss "" poke",2023-10-14
Aris Wibowo,Tempatnya ramai... lumayan tertib... Yg dijual lumayan lengkap... Usul tempat parkirnya dibesarkan atau dipikirkan lg...,2019-10-14
Tadi Kustiono,"jalanya masuk pasar/didalam pasar kurang halus, kamar mandinya sdh ketinggalan jaman.",2021-10-14
Warsiyah s Warsiyah,Masi pasar tradisional tempo dulu..jajanan tempo dulu...pedagang menggelar dagangan jg Masi tradisional...👍👍👍nyaman belanja di sini...cuma di dalam agak gelap.. …,2021-10-14
Java Rainbow Jogja,"Pagi jam 4 udh ramai
Mau belanja dindalam pasar ok
Yg di luar pasar jg ok",2020-10-14
Sasmito Utomo,Salah satu pasar tradisional yang berada di tengah kota. Ada bermacam barang kebutuhan pokok.,2021-10-14
Gaty Putri,"Pasarnya rame kalau pagi hari.
Aneka jajan pasar juga ada.",2022-10-14
MasYus,Nyoba gudeg mercon malam2. Ternyata puedesse pol. Tidak rekomen buat yg gak doyan pedas,2022-10-14
Wietha Sanibar,"Banyak jajan pasar jogja tempo doelo ,jenang gempol,lopis ketan juruh,bubur lemu...asikkkk enak..pasarnya bersih n nyaman",2016-10-14
Travelingbae,"Salah satu pasar tradisional di Kota Yogyakarta.
Tempat lumayan bersih dan teratur.
Parkiran motor cukup luas",2018-10-14
Elisabeth Kadar Purwanti,"Gudegnya endees rasanya pas,pedesnya mantab bisa buat telinga kita panas,layak disebut gudeg mercon 😂 …",2017-10-14
Muhammad ichwan (eyank),"Kalau lagi nginep di Taman siswa...
Pagi2 jalan je sini cari jajanan pasar, soto dan gudeg bu Dar...",2017-10-14
Syaiful Anwar,"Lebih murah dibanding pasar yg ada dimalioboro itu loh, tapi mesti pandai berlogat lokal",2019-10-14
MAMITAKA,Sentul market is a traditional market located near city center of yogyakarta city. Its location in thr opposite road od pakualaman palace. This place serve basic daily need.,2017-10-14
Hanafi Andika,"Pasar kurang lengkap, banyak penjual yang menjual makanan dan sayur",2021-10-14
Lastari Lastari,Pasarnya kecil..tp semua kebutuhan utk dapur komplit..,2020-10-14
Eko Pramono,Pasar tradisional yang terletak di tengah kota. Letaknya berdekatan dengan Obyek Wisata Puro Pakualaman Yogyakarta.,2017-10-14
Dian Harumia Kusumawati,Pasar lumayan besar dan komplit. Samping pasar ada gudeg bu Dar. Enak 👍👍 …,2020-10-14
lidia nofiani,pasar tradisional. kalau malam ada penjual pecel lele yang enak,2018-10-14
Roni Gocar,"Sering disebut juga dengan nama Pasar Jagung, setiap malam tahun baru banyak penjual jagung berjualan disini.",2016-10-14
Stube HEMAT,Perlu penataan ulang baik pedagang dan sentra jualan. Kebersihan perlu ditingkatkan.,2019-10-14
Aminu Rosadah,Sejak jaman saya kuliah setiap pagi saya selalu kesini untuk beli bahan makanan untuk dimasak..,2018-10-14
Didik Erwanto,Kesini cuma buat nyari makan lesehan pas malam hari,2023-10-14
SaRas,"belanja tongkol dulu seringnya kalo disini, wkwk",2023-10-14
Giant Jr.,"Pasar tradisional di wilayah jogja, semoga semakin ramai terawat bersih dan ekonomis.",2020-10-14
Sura Tinah,Beli oleh2 di sore hari juga bisa ...( sepulang kerja),2019-10-14
Eka Dwi Pamuji,Lumayan bagus,2019-10-14
Rindra Hari,"I come here because the infamous ""Soto Pasar"" or traditional market Soto.. Great taste and value too.. It will be worth if you came here..",2017-10-14
K.S. Amijaya,pasar tradisional di tengah kota utk belanja dapur rumah tangga.,2018-10-14
yulia putra,Pasar yg ramai juga cocok buat berbelanja,2022-10-14
Rohmat Mulyono,"Woow mantap gudeg merconya pedas,enak ,gurih rasa juga tempatnya menarik",2018-10-14
joehan husein,Pasar dengan kekayaan sejarah yang banyak menjual barang barang rumah tangga,2020-10-14
Soedjatmiko R,Saat ini dalam kondisi sedang di renovasi,2023-10-14
Dannic Onlydann,good,2024-08-14
Sita Putrihapsari,"Pasarnya bersih bersih dan rapih
Beli tiwul ada semua",2019-10-14
Anthony Adhey,Semua jenis sayur tersedia disinii,2020-10-14
Mochammad Agus Masrul,New Pasar sentul,2024-04-14
Dwi Yanti,"Duluuuuu sekali pernah ke psr sentul, kamis lalu ke sana lagi agak2 bingung nyari2",2020-10-14
mikael rinto,Pasar yang cukup representatif di tengah kota Yogya. Area parkir lumayan,2017-10-14
Sri Rahayu,"Penjual ramah,jualan komplit,harga normal.",2022-10-14
Kristin aja,Promo Suzuki cash/kredit Hp:081226257070,2021-10-14
Choirudin Arifin,Tempatnya Nyaman tp kebersihannya msih kurang,2021-10-14
kpool sarjana,Pasar tradisional....favorit disini adalah jagung....grosir jagung untuk jagung bakar maupun jagung rebus....,2017-10-14
Tripku Jogja,Belanja di sini setiap persiapan malam tahun baru... jagung.,2020-10-14
andreas ardi setiawan,Pasar tradisional yg sebelum subuh sudah buka,2019-10-14
deni caturina (Deny),Belum begitu lengkap tp harga lumayan murah,2020-10-14
Usnul Djadi,Ada bakso dan mie ayam enak di ruka depan.,2018-10-14
Fahmi Kuliner,Pernah nyari yg gak ada ternyata di sini ada,2022-10-14
Rizki Lestariningrum,Pasar legendaris dg kondisi yg semakin bagus setiap tahun,2024-06-14
nita nurindah sari (nytha nyit_nyit),kalau mau cari jajan pasar murah disini,2019-10-14
Srirum Hertiningsih,"Komplet dagangannya,tempat pinggir jalan dan harga terjangkau",2019-10-14
Fansy Churman,Mudah diakses. . .tidak sulit belanja disana. Bersih dan tidak bau bau.,2019-10-14
Ratih Buwono,"You can find great ""gudangan"" (tradirional vegetables salad) here",2017-10-14
Dwi Pratomo,"Lumayan ramai, perlu jga kebersihan dan kerapihan",2020-10-14
Atika Ms,"Lumayan bersih pasarnya,parkiran sempit",2020-10-14
Irfan Aziz Al Firdaus,"One thing, the parking space is a bit lacking and it's close to traffic lights",2022-10-14
Dian Sutjahjono,Pasar tradisional tapi bangunan nya sudah bagus,2020-10-14
gito pandu,Pasarnya ternyata kecil,2023-10-14
P Slamet Narimo,Gudeg yg tidak terlalu manis.. Dan yg pasti pedas,2018-10-14
Prisca Eka,Pasar tradisional yg perlu pembenahan oleh pemerintah,2021-10-14
Pompy Eko Prabowo,pasar tradisional yang lengkap dan banyak jajanan tradisional,2020-10-14
Aprik Setiawan,Tempat belanja kebutuhan rumah tangga,2022-10-14
Olivia Puspita Ningrum,Pasarnya cukup bersih dan lengkap,2021-10-14
Agus Tini,"Kesini tiap cari ikan segar aja, hehee",2019-10-14
riyanto riyanto,Tempat belanja lengkap kebutuhan masyarakat Jogja,2017-10-14
Isti Kaka,Parkir mobil ga ada,2019-10-14
una nurfa,Lumayan untuk belanja dengan harga terjangkau,2019-10-14
Yulia Yunus,Nice gudeg Infront of Sentul Market,2022-10-14
Je Story,Wlpn pasarnya kecil. Tp lengkap,2017-10-14
wahyu putri,Pusat jajanan yang murah meriah dan enak,2018-10-14
Benidektus Suma Atmaja,Best place to get corn for new year party,2017-10-14
Dharendra Wardhana,Nice traditional market located in the heart of the city,2017-10-14
Bakti .W.Astono,Enaaak tapi gak tahan pedasnya.,2018-10-14
dwi retno retno,Komplit mau ap sj ada,2022-10-14
Ratna Novita,Makanan nya enak n sehat,2018-10-14
Agus Edi Sucipto,Pasanya ramai dan relatif rapi,2020-10-14
herrys joyo,Ramai pasarnya,2021-10-14
Wirajaya Adventure,"Mau kulakan jagung bakar, bisa di sini",2016-10-14
Eko Wasisto,Ada jual jamu tradisional,2019-10-14
rachmat budi,tempat belanja paling komplit,2017-10-14
Tahmid Miftachurrozaq,Pasar tradisional di tengah kota Yogyakarta,2023-10-14
Juha Udia,"Lengkap,d tengah kota",2020-10-14
S Gendhis,Harga dipasar ini murah2,2021-10-14
andy leonardo brughman,Deket dari rumah & dagangannya komplit,2019-10-14
Anim latif,Tempatnya bersih dan nyaman,2021-10-14
Rianto Hood,Parkirnya sempit,2021-10-14
Bambang Pranggono,local market with a lot of traditional food,2019-10-14
Aryadi Dwi Prastyo,Clean traditional market and cheap price,2018-10-14
Arfan Ershi,Pasar tradisional yg murah dan lengkap,2018-10-14
Diaz Radityo,Pasar tradisional yang sangat asyik,2017-10-14
Ary Gogon,"Komplit,murah",2022-10-14
Mister Jarwaka,Strategis di pinggir jalan utama,2021-10-14
kamaluddin ginting,Nyaman dan bersih,2019-10-14
Sinta Wulandari,👍👍 …,2020-10-14
Agung TP,whatever your kitchen needs are available,2017-10-14
Guntur agus sriyanto,Pedesnya mantap,2018-10-14
Indra Wijaya,Pusat pasar jagung yogyakarta,2018-10-14
Niken TK,Good place for cheaper shopping,2019-10-14
muhammadun,Lumayan lengkap,2019-10-14
Cinta Sejati,Kurang lengkap,2021-10-14
Tri Windyartono,Cari jajanan pasar,2020-10-14
M. Yusuf Nuryanto,padat,2022-10-14
Ali Alea,Lengkap muriiihhh...,2020-10-14
Eko A Wibowo,Ok,2022-10-14
NoEr,Komplit,2020-10-14
Robil Adectas,Blm pernah kesini,2020-10-14
jin kura kura Channel,Ramai,2019-10-14
Ahmad nur hikmah,Bersih,2017-10-14
Sahal Zarkasyih Fanani,Enak,2018-10-14
Damai_demit Wijayanti,Tempat belanja,2020-10-14
Akhsany Okd,Sip,2017-10-14
Ardan,Pasar biasa..,2018-10-14
Monaliza Abidin,Pasar tradisional,2022-10-14
Gebian Ridho Sadewa,Pasar sentul,2018-10-14
Gabroel kucluk,50 jam,2024-07-14
Wiwit Widono,Pasarnya kecil tapi sangat ramai. Pukul 04.00/subuh sudah banyak orang.,2017-10-14
dian pratiwi,"Kalau malam ada pecel lele, sambal mentahnya juara😍 …",2017-10-14
Widy Dwicahyo,Berlangganan pencari jagung,2022-10-14
Aji Prasetyo,Banyak orang,2021-10-14
Wamil Eko,Pasar tradisional modern....siiip,2018-10-14
Ade Bulbend,Lengkap lengkap,2020-10-14
Benny Fikti,Tidak,2018-10-14
Adin Nugraha,berjalan kaki,2017-10-14
Ananda Bclean,"Dari mulai tradisional sampe di renov jadi pasar yang bagus dan bersih. Berkah buat smua para pencari nafkah di sana. Tapi sangat disayangkan toilet nya jorok pisan, padahal ada yg jaga dan narik tarif toilet sampe lumut kuning2 bau nya …",2024-09-14
rvdikrwn,Berubah dari pasar tradisional menjadi pasar semi modern. Lengkap dengan food court di lt.3 yang beraneka macam pilihan menu makanannya. Food court di lt.3 rata-rata pindahan pedagang di food court depan Pakualaman. Suasananya juga sejuk angin semilir seperti dibawah pohon beringin dan yang jelas tidak debu.,2024-08-14
Osa Sumanohara,"Pasar sentul hadir dengan bangunan gedung yang baru, di atas ada foodcourt dengan berbagai macam menu pilihan sesuai selera, pindahan para pedagang yang dulu disekitaran puropakualaman",2024-09-14
